,,ある      ,ない                ,無回答            ,ｎ
,今回調査（全体）,17.8,79.9,2.3,2348
,前回調査,16.7,79.9,3.3,2263
業種別,情報・コンテンツ業,20.5,78.0,1.6,640 
業種別,専門サービス業,18.0,79.9,2.1,820 
業種別,技術サービス業,19.4,78.2,2.4,340 
業種別,事業サービス業,12.8,83.6,3.6,507 
特定10業種,ソフトウェア業,22.0,76.6,1.4,286 
特定10業種,インターネット附随サービス業,25.8,74.2,0.0,62 
特定10業種,映像情報制作・配給業,20.6,77.9,1.5,68 
特定10業種,出版業,12.7,81.8,5.5,55 
特定10業種,税理士事務所,6.4,91.7,1.8,218 
特定10業種,デザイン業,23.1,75.0,1.9,104 
特定10業種,経営コンサルタント業,32.4,65.9,1.7,179 
特定10業種,建築設計業,21.1,77.2,1.7,180 
特定10業種,自動車整備業,5.6,83.3,11.1,54 
特定10業種,建物サービス業,5.4,94.6,0.0,111 
従業者規模別,1～2人,15.4,82.5,2.1,971 
従業者規模別,3～5人,17.6,79.6,2.8,573 
従業者規模別,6～9人,17.2,80.4,2.4,250 
従業者規模別,10～29人,19.0,78.8,2.2,316 
従業者規模別,30人以上,28.1,70.0,1.9,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,26.9,71.4,1.7,234 
年間売上高増減別（３年前）,やや(10％未満)増加,22.7,76.9,0.4,238 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,13.6,84.0,2.4,662 
年間売上高増減別（３年前）,やや(10％未満)減少,14.0,82.1,3.9,308 
年間売上高増減別（３年前）,大幅(10％以上)減少,17.0,80.3,2.8,795
売上高経常利益率別,黒字,18.1,79.9,2.0,1409
売上高経常利益率別,赤字,18.6,79.4,2.0,693
経常損益の変化別（３年前）,増益,22.0,77.8,0.2,469
経常損益の変化別（３年前）,横ばい,15.7,81.7,2.6,765
経常損益の変化別（３年前）,減益,16.5,80.3,3.2,973
代表者の年齢別,40歳未満,31.4,65.7,2.9,70
代表者の年齢別,40歳代,21.1,78.4,0.6,356
代表者の年齢別,50歳代,18.2,80.0,1.8,670
代表者の年齢別,60歳代,18.8,78.9,2.3,696
代表者の年齢別,70歳以上,12.2,83.5,4.3,534
