表側１,表側２,表側３,回答企業数(件),大きな影響がある(%),ある程度の影響がある(%),現在のところ影響はないが、今後影響がある(%),影響はない(%),無回答(%)
,,"今回調査
（全体）",214,16.4,39.3,40.7,1.4,2.3
業種別,,食料品卸売業,65,23.1,36.9,36.9,1.5,1.5
業種別,,生鮮食品卸売業,30,16.7,40.0,40.0,3.3,0.0
業種別,,加工食品等卸売業,35,28.6,34.3,34.3,0.0,2.9
業種別,,衣料品関連卸売業,31,6.5,35.5,54.8,0.0,3.2
業種別,,住関連卸売業,47,21.3,44.7,31.9,0.0,2.1
業種別,,その他卸売業,69,11.6,39.1,43.5,2.9,2.9
従業者規模別,,１～５人,47,17.0,36.2,44.7,0.0,2.1
従業者規模別,,６～９人,48,18.8,29.2,43.8,2.1,6.3
従業者規模別,,10～49人,102,15.7,43.1,38.2,2.0,1.0
従業者規模別,,50人以上,14,14.3,57.1,28.6,0.0,0.0
取引形態別,一次卸,小売直取引卸,70,24.3,37.1,35.7,1.4,1.4
取引形態別,一次卸,他部門直取引卸,24,20.8,41.7,37.5,0.0,0.0
取引形態別,一次卸,元卸,48,12.5,37.5,43.8,2.1,4.2
取引形態別,二次卸,中間卸,14,0.0,42.9,57.1,0.0,0.0
取引形態別,二次卸,最終卸,34,8.8,41.2,44.1,2.9,2.9
取引形態別,その他,製造問屋,3,33.3,33.3,33.3,0.0,0.0
取引形態別,その他,その他卸,15,13.3,33.3,46.7,0.0,6.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,58,22.4,39.7,34.5,0.0,3.4
年間売上高増減別（3年前）,,やや増加（10％未満）,46,15.2,43.5,37.0,4.3,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,33,9.1,33.3,51.5,0.0,6.1
年間売上高増減別（3年前）,,やや減少（10％未満）,27,14.8,40.7,40.7,3.7,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,45,17.8,40.0,40.0,0.0,2.2
売上高経常利益率別,,黒字（プラス）,163,16.6,37.4,41.7,1.8,2.5
売上高経常利益率別,,赤字（マイナス）,44,18.2,40.9,38.6,0.0,2.3
経常損益の変化別（3年前）,,増益,83,22.9,42.2,32.5,2.4,0.0
経常損益の変化別（3年前）,,横ばい,50,14.0,36.0,44.0,2.0,4.0
経常損益の変化別（3年前）,,減益,77,11.7,39.0,45.5,0.0,3.9
