表側,2016年
各種商品小売業(％),12.4
織物・衣服・身の回り品小売業(％),9.6
飲食料品小売業(％),24.7
機械器具小売業(％),17
その他の小売業(％),22.1
無店舗小売業(％),14.3
年間商品販売額(億円),190868
