表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(30％未満)(％),減少(50％未満)(％),大幅減少(50％以上)(％),無回答(％)
,,今回調査（全体）,2003,5.5,14.1,28.6,23.2,23.3,5.4
業種別,,総合商品小売業,164,16.5,22,28.7,18.3,9.8,4.9
業種別,,生鮮食品小売業,113,15,15,27.4,22.1,13.3,7.1
業種別,,食料品関連小売業,511,6.8,16.8,29.9,22.9,17.8,5.7
業種別,,衣料品関連小売業,314,1.6,7.3,19.7,27.4,41.4,2.5
業種別,,住関連小売業,162,1.9,17.9,25.9,23.5,25.9,4.9
業種別,,その他小売業,737,3.1,12.3,32.2,22.8,23.2,6.4
従業者規模別,,1～2人,1059,3.7,12.7,26.2,26,25.9,5.6
従業者規模別,,3～5人,488,4.9,16.8,28.7,22.3,21.1,6.1
従業者規模別,,6～19人,272,10.3,12.9,37.1,16.9,18.8,4
従業者規模別,,20人以上,134,14.2,18.7,32.8,17.2,14.2,3
