表側１,表側２,表側３,回答企業数(件),500万円未満(%),500万～１千万円未満(%),１～３千万円未満(%),３～５千万円未満(%),５千万～１億円未満(%),１～３億円未満(%),３億円以上(%),無回答(%)
,,今回調査（全体）,2141,61.8,11.1,9.9,4.0,3.5,2.8,1.6,5.3
,,前回調査,2003,65.3,10.6,8.7,2.7,3.3,2.9,0.5,5.9
業種別,,総合商品小売業,189,29.6,11.6,12.7,9.5,16.9,13.2,2.6,3.7
業種別,,生鮮食品小売業,134,50.7,14.9,12.7,6.7,1.5,1.5,2.2,9.7
業種別,,食料品関連小売業,535,71.2,11.6,7.1,1.9,1.7,0.6,1.3,4.7
業種別,,衣料品関連小売業,298,71.5,8.1,9.1,2.3,1.3,1.7,0.3,5.7
業種別,,住関連小売業,167,63.5,13.2,8.4,2.4,1.2,1.2,3.0,7.2
業種別,,その他小売業,773,60.9,10.9,11.3,4.7,3.1,2.8,1.7,4.7
従業者規模別,,１～２人,1066,81.7,8.9,3.7,0.6,0.3,0.0,0.0,4.9
従業者規模別,,３～５人,486,53.3,16.5,19.8,3.3,1.2,0.4,0.0,5.6
従業者規模別,,６～19人,336,30.7,12.8,15.8,14.3,14.0,5.1,0.9,6.5
従業者規模別,,20人以上,170,21.8,7.6,10.0,9.4,11.2,21.8,16.5,1.8
