表側１,表側２,表側３,回答企業数(件),500万円未満(％),500万～1千万円未満(％),1～3千万円未満(％),3～5千万円未満(％),5千万～1億円未満(％),1～3億円未満(％),3億円以上(％),無回答(％)
,,今回調査（全体）,2003,65.3,10.6,8.7,2.7,3.3,2.9,0.5,5.9
,,前回調査,2189,58.3,15.1,10.5,3.8,3.1,2.1,0.9,6.2
業種別,,総合商品小売業,164,24.4,13.4,14.6,7.9,17.7,13.4,0.6,7.9
業種別,,生鮮食品小売業,113,65.5,11.5,11.5,1.8,0.9,0,0,8.8
業種別,,食料品関連小売業,511,72.8,10.4,6.3,2.2,0.8,1,0.6,6.1
業種別,,衣料品関連小売業,314,72.6,10.5,6.4,0.3,2.2,1.6,0.3,6.1
業種別,,住関連小売業,162,70.4,12.3,8,1.2,0.6,1.2,0,6.2
業種別,,その他小売業,737,65,9.8,9.6,3.4,3.3,3.3,0.8,4.9
従業者規模別,,1～2人,1059,83,8.4,2.5,0.2,0.2,0,0,5.7
従業者規模別,,3～5人,488,54.7,16.8,17.2,3.3,1.4,0.8,0,5.7
従業者規模別,,6～19人,272,37.1,10.3,17.3,9.2,13.2,7,0,5.9
従業者規模別,,20人以上,134,17.2,8.2,10.4,8.2,14.9,26.1,8.2,6.7
