区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,16254,39.6,8.7,305689,10632,37676,4697299,10185,40.7,9.1,316629,10443,44342,4883178,5912,38,8.2,287090,10828,25831,4350691
建設業,2454,37.3,8.5,306311,11485,53951,5185542,1763,37.9,9,314533,10981,58856,5380276,550,37.1,7.6,280241,11740,38613,4496592
製造業,4089,40.1,10.6,294151,11200,27466,4467015,2671,40.6,11.2,304941,11306,33405,4707439,1416,39.2,9.3,273883,11017,15836,3988313
情報通信業,1535,32.9,6.1,295165,9303,48919,4733117,862,33.3,6.7,305363,9802,53391,4901849,671,32.4,5.3,281750,8690,43380,4515635
運輸業，郵便業,1683,50.2,9.1,298657,6247,51136,4040853,1481,51.9,9.3,302098,5586,53609,4027710,202,37.6,7.3,274942,11099,34289,4153507
卸売業，小売業,1982,39.9,8.9,295409,12086,24244,4437124,999,40.5,8.6,320405,12226,27722,4848889,983,39.3,9.2,269952,11943,20622,3992978
金融業，保険業,1179,37.9,8.9,384209,12588,45703,6362704,548,36.3,6.3,411849,12499,59378,6868074,631,39.2,11.1,359974,12665,33888,5944855
不動産業，物品賃貸業,503,35.7,6.1,302005,11991,22941,4402265,277,36.2,5.5,324630,13746,24880,4565613,226,35.1,6.9,274274,9840,20564,4184141
学術研究，専門・技術サービス業,845,38.1,6.6,353027,8922,22456,5185492,407,38.9,7,389860,8667,27291,5877258,438,37.3,6.2,318891,9159,18157,4543422
宿泊業，飲食サービス業,418,38.2,7,293835,10369,32930,3713702,244,39.9,8.1,312448,9363,44237,4042502,162,35.7,5.7,268915,12229,18299,3170045
生活関連サービス業，娯楽業,303,38.4,6.6,280519,13352,25592,3888339,140,38.7,6.9,293933,16142,39621,4322797,163,38.2,6.4,268926,10955,13280,3513699
教育，学習支援業（学校教育を除く）,193,41,8.5,286533,10280,64913,4998251,89,44.5,9.1,307582,12550,86110,5566491,104,37.9,7.9,268345,8336,47063,4430010
医療，福祉,324,41,5.2,277942,8292,28664,4005770,131,36.9,4.3,276062,10838,27722,4022482,193,43.7,5.9,279219,6564,29375,3995026
サービス業（他に分類されないもの）,746,41.7,10.7,289801,11550,39060,4720317,573,41,10.8,294292,11515,47647,4857399,173,44.1,10.4,274953,11665,10836,4244187
