,,個人,法人,無回答,ｎ
,今回調査（全体）,20.4,79.4,0.2,2348
,前回調査,25.4,73.9,0.7,2263
業種別,情報・コンテンツ業,1.4,98.6,0,640
業種別,専門サービス業,46.7,52.9,0.4,820
業種別,技術サービス業,13.5,86.5,0,340
業種別,事業サービス業,7.9,91.9,0.2,507
特定10業種別,ソフトウェア業,1,99,0,286
特定10業種別,インターネット附随サービス業,3.2,96.8,0,62
特定10業種別,映像情報制作・配給業,0,100,0,68
特定10業種別,出版業,0,100,0,55
特定10業種別,税理士事務所,94,4.6,1.4,218
特定10業種別,デザイン業,17.3,82.7,0,104
特定10業種別,経営コンサルタント業,2.2,97.8,0,179
特定10業種別,建築設計業,14.4,85.6,0,180
特定10業種別,自動車整備業,33.3,64.8,1.9,54
特定10業種別,建物サービス業,5.4,94.6,0,111
従業者規模別,1～2人,30.2,69.7,0.1,971
従業者規模別,3～5人,23.2,76.8,0,573
従業者規模別,6～9人,14.8,85.2,0,250
従業者規模別,10～29人,4.1,95.9,0,316
従業者規模別,30人以上,0.5,99.5,0,210
