,（出向・派遣従業者のみ）,1～4人,5～9人,10～19人,20～29人,30人以上
情報通信業,1,49.5,16.6,12.4,5.5,15.1
不動産業・物品賃貸業,0.8,81.4,11.1,4.1,1.1,1.4
学術研究，専門・技術サービス業,0.6,67.7,17.1,8,2.5,4.2
サービス業（他に分類されないもの）,1.8,62.1,14.9,9.3,3.6,8.4
