区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,25641,42.9,11.1,363904,11343,32453,5582454,17542,44.1,12,386354,11522,36039,5939217,7830,40.2,9.3,313339,10752,24490,4712504
建設業計,4004,41.8,11.7,364272,11558,45995,6176064,3082,42.7,12.3,377316,11069,48891,6434912,685,39.1,8.9,297482,11441,37751,4880078
建設業／総合工事業,1345,40.2,10.9,362807,12951,57535,6492289,832,41.8,12,382921,12073,67565,6891162,276,36.5,7.5,280825,11046,49944,5137954
建設業／職別工事業,1094,44.9,12.1,374415,10481,40446,5812527,913,45.7,12.6,382874,10111,41047,5971068,181,40.7,9.1,331741,12346,37412,4953337
建設業／設備工事業,1565,41.1,12.1,358434,11113,40230,6185578,1337,41.1,12.3,370031,11098,43088,6468355,228,40.8,10.3,290125,11203,23474,4558608
製造業計,6542,43.5,13.3,351229,12059,24123,5273945,4753,44.6,14.3,373214,12456,27269,5626852,1784,40.8,10.5,292912,11014,15527,4270725
製造業／食料品・たばこ・飼料製造業,201,41.1,10.9,311169,11707,11054,4406341,122,42.6,12.1,337429,12445,9741,4747617,78,38.4,9.1,269662,10383,13152,3823778
製造業／繊維・衣服製造業,496,42,12.1,326653,16707,19181,4489592,231,45.7,15.9,381391,17659,14934,5190354,265,38.8,8.8,279352,15878,22921,3866693
製造業／木材・木製品・紙・パルプ製造業,499,42.5,11.5,303994,10037,17193,4736826,339,43.2,12.3,324291,10719,17528,4994244,160,41.1,9.8,260989,8591,16484,4084012
製造業／印刷・同関連業,977,44.1,14.4,330084,14808,37733,4768353,755,46,15.4,345558,15279,42708,5000704,220,38,11,277541,13260,20870,3873208
製造業／化学工業,590,41.1,9.2,392343,7826,3396,5498193,371,41.5,9.4,426522,8868,3252,6091257,219,40.5,8.8,333639,6061,3636,4487290
製造業／プラスチック製品製造業,261,43.7,12,373495,13438,22126,6069791,187,45.3,13.2,407380,14782,26824,6758879,72,39.2,8.7,289143,10322,10538,4375246
製造業／ゴム製品・革・毛皮製造業,253,45.3,11,375494,15715,12476,5469426,176,46.9,10.9,409328,16535,13513,5906795,77,41.6,11.1,297588,13843,9883,4335000
製造業／窯業・土石製品製造業,707,43.9,15.9,350910,11473,32775,5569187,598,44.5,16.6,365070,11698,35936,5828341,109,40.2,12,273618,10237,15430,4071852
製造業／鉄鋼・非鉄金属製造業,257,43.9,14.9,359467,11019,11203,5387280,184,44.7,15.7,386184,11132,10635,5756901,73,41.9,12.8,292127,10734,12473,4460548
製造業／金属製品製造業,314,41.4,13.5,323276,11750,20349,5210907,236,41.6,14,344767,12700,21499,5605208,78,40.9,11.9,258252,8876,16730,4028004
製造業／はん用・生産用・業務用機械器具製造業,700,44.5,12.9,340244,10920,26697,5334024,548,44.9,13.6,354898,11267,29645,5572396,152,43,10.6,287414,9671,16017,4445236
製造業／電気・電子部品・精密機械器具製造業,432,46.4,17.9,329110,11808,26711,5127741,333,46.6,18.7,348906,12982,27618,5467756,99,45.7,15.2,262921,7856,23456,3969448
製造業／輸送用機械器具製造業,617,44,13.2,433192,9495,28869,6278933,533,43.7,13.4,431193,9263,30528,6221865,84,45.7,12.1,445734,10966,18338,6629823
製造業／その他の製造業,238,44.5,13.2,361180,14439,32004,5742679,140,46,15.7,403032,14250,45548,6531021,98,42.2,9.7,301392,14710,12866,4450937
情報通信業計,2486,38,9.7,359643,10275,39097,5606478,1539,39.1,11,380123,10854,41282,5866363,945,36.2,7.6,326076,9355,35647,5157806
情報通信業／通信・放送・インターネット附随サービス業,447,37.4,5.5,394683,5276,58577,5348110,273,37.9,6.1,427727,4939,64197,5761015,172,36.7,4.8,340758,5872,50340,4653313
情報通信業／情報サービス業,1131,36.2,10.1,318206,10477,37796,5083425,804,37.4,11.2,334191,11464,38040,5294570,327,33.3,7.6,278904,8049,37203,4546170
情報通信業／映像・音声・文字情報制作業,908,40.4,11.1,394238,12486,31107,6371117,462,42.7,13.5,431927,13288,33293,6873974,446,38,8.7,355197,11656,28843,5796040
運輸業，郵便業計,2047,51.2,9.9,305075,7379,48154,4163239,1797,52.7,10.1,308176,6855,50397,4147367,249,39.9,8.5,284013,11176,32905,4291684
運輸業，郵便業／道路旅客運送業,1103,57.4,9.2,301136,2549,38124,3557196,1060,57.5,9.2,301063,2568,38252,3553217,42,54.5,10,303492,2013,34905,3658042
運輸業，郵便業／道路貨物運送業,298,50,10.6,295409,7887,85712,4607720,279,50.7,11,296427,7863,89656,4643028,19,39.7,6.1,280473,8245,27798,3916679
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,646,41.1,10.9,315680,15392,46326,4982826,458,42.9,11.9,330318,16161,51806,5162145,188,36.7,8.4,280020,13520,32974,4482129
卸売業，小売業計,2968,42.8,11.2,337156,12319,22349,5117364,1711,43.9,12.1,376088,12684,24552,5744305,1257,41.4,10,283851,11820,19278,4177269
卸売業，小売業／繊維・衣服等・飲食料品卸売業,534,41.7,11.9,338407,10745,25338,5396246,267,45,13.7,388961,10258,25197,6037692,267,38.4,10.2,287854,11232,25493,4619593
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,487,41.8,12.5,386750,14166,17630,6180885,343,41.6,12.4,412017,13867,19590,6646728,144,42.4,12.6,326915,14880,12779,5110903
卸売業，小売業／その他の卸売業,845,43.6,11.2,331887,13860,22422,5021170,492,44.9,11.8,374242,15039,23161,5714744,353,41.8,10.3,272974,12218,21393,3990648
卸売業，小売業／織物・衣服・身の回り品小売業,297,43.4,11.8,297964,13867,10787,3816528,125,44.4,13.1,339340,15236,10196,4313226,172,42.7,10.8,267178,12871,11222,3404978
卸売業，小売業／飲食料品小売業,127,40.8,10,310889,3989,23695,4382033,84,39.7,11.4,345199,3409,24443,4876867,43,42.8,7.4,243865,5123,22269,3212427
卸売業，小売業／機械器具等小売業,422,42.3,9.2,350763,12677,33375,5468337,287,43.1,10,376606,12386,38437,5944826,135,40.8,7.6,294572,13294,22614,4301931
卸売業，小売業／その他の小売業,256,45.7,10.7,293255,8744,19026,4099378,113,48.4,13.3,307796,9411,24725,4312855,143,43.6,8.5,281602,8217,14974,3907644
金融業，保険業計,2402,43,11.2,507549,12958,31903,8163759,1474,43.8,11.1,569207,13437,31438,9237794,928,41.6,11.3,409165,12196,32621,6438061
金融業，保険業／金融業,1567,42.5,11.6,452703,13425,33951,7521246,922,44.2,11.6,520104,13869,33731,8499975,645,40,11.6,355450,12791,34253,6054017
金融業，保険業／証券業,835,43.9,10.3,611074,12080,28173,9520600,552,43.1,10.2,652123,12717,27780,10672912,283,45.4,10.5,531313,10838,28936,7368631
不動産業，物品賃貸業計,801,38.3,7.7,347505,12042,22918,5177256,504,39.8,7.9,379302,13441,24161,5623253,297,35.7,7.3,293363,9668,20808,4330254
学術研究，専門・技術サービス業計,1338,41.1,8.4,432183,9974,18291,6048660,742,42.8,9.2,491072,10475,19380,6856743,594,39,7.4,359219,9311,17026,5018822
学術研究，専門・技術サービス業／専門サービス業,635,45,8.2,537842,9037,20659,7441461,334,46.9,8.6,654900,9698,20903,9061477,301,43,7.7,409859,8304,20397,5689070
学術研究，専門・技術サービス業／広告業,703,37.5,8.6,337796,10820,16101,4739085,408,39.5,9.7,359368,11112,18103,5054050,293,34.8,7.1,307368,10346,13498,4259995
宿泊業，飲食サービス業計,572,40.4,8.1,306417,11057,30617,3847299,361,41.8,9.3,325136,10737,39320,4144676,189,37.6,6.2,274242,12237,17703,3267001
宿泊業，飲食サービス業／宿泊業,328,40.1,7.2,303244,13163,15904,3642258,181,41.9,8.5,325460,13757,18284,3984253,144,37.8,5.7,276226,12591,13438,3179972
宿泊業，飲食サービス業／飲食店,244,40.8,9.3,310635,8226,49400,4104337,180,41.7,10.1,324810,7701,58898,4299006,45,36.7,7.8,268070,11105,31193,3558003
生活関連サービス業，娯楽業計,501,41.5,9.4,323404,12598,23457,4530082,277,42.7,10.4,354151,14233,32365,5127545,224,40,8.1,285212,10576,12276,3768846
