区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,4663,46.6,11.9,303319,9909,39509,4478853,4127,47.1,12.2,309345,9867,42193,4583797,533,42.7,9.8,257359,10258,18936,3596133
建設業,573,45.3,11.3,326351,15397,60568,5354443,555,45.3,11.4,328790,15288,61126,5405480,18,48,9.2,251152,18781,43360,3619167
製造業,2226,43.5,13.8,300578,11137,31206,4621143,1851,43.8,14.4,310357,11233,33917,4818015,373,42.5,10.7,252104,10684,17666,3566147
情報通信業,25,39.9,3.3,345968,1053,6665,4882868,18,39.3,3.4,325594,936,6577,4593973,7,41.6,3,398359,1355,6892,5501929
運輸業，郵便業,1294,53.4,9.9,297000,5639,52517,3912963,1270,53.5,9.9,296615,5571,52815,3920037,23,48.7,8.1,318103,9452,37460,3512448
卸売業，小売業,211,43.1,10.5,293475,10493,22996,4260454,163,43.6,11.3,307146,11429,25080,4510280,48,41.3,8,244564,7315,16440,3362432
金融業，保険業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
不動産業，物品賃貸業,28,49.7,12.4,349608,16681,11645,4579457,20,51.6,13.5,397437,15147,12949,5278780,8,45,9.5,230037,20515,8384,2831150
学術研究，専門・技術サービス業,75,42.5,6.9,309109,6392,32188,4585211,47,47.3,7.3,322558,6564,36760,4865605,28,34.6,6.3,286532,6104,24513,4190581
宿泊業，飲食サービス業,28,37.7,5.7,300345,11788,5975,3804446,19,38.9,6.3,325289,11403,7038,4097042,9,35,4.4,247686,12599,3000,3010257
生活関連サービス業，娯楽業,16,44.6,15.8,311498,13973,2851,3931756,15,44.7,16.1,319131,14904,3041,4022967,1,x,x,x,x,x,x
教育，学習支援業（学校教育を除く）,8,63.5,8.4,199287,9024,0,2528200,4,x,x,x,x,x,x,4,x,x,x,x,x,x
医療，福祉,12,43.6,5,224645,10062,84323,3249317,12,43.6,5,224645,10062,84323,3249317,-,-,-,-,-,-,-
サービス業（他に分類されないもの）,167,46.6,10.5,312662,8147,20716,4597318,153,45.9,10.7,317711,8299,21544,4646420,14,54.5,8.4,257852,6492,11672,3914800
