表側１,表側２,表側３,回答企業数(件),１～９(％),10～29(％),30～49(％),50～99(％),100～299(％),300以上(％),無回答(％)
,,"今回調査
（全体）",767,40.5,28.4,9.3,9.0,6.9,2.1,3.8
,,前回調査,760,41.2,27.1,10.4,12.0,5.7,2.1,1.6
業種別,,食料品卸売業,213,43.2,26.8,12.2,9.4,5.6,0.5,2.3
業種別,,生鮮食品卸売業,91,50.5,25.3,12.1,6.6,2.2,0.0,3.3
業種別,,加工食品等卸売業,122,37.7,27.9,12.3,11.5,8.2,0.8,1.6
業種別,,衣料品関連卸売業,111,41.4,36.9,4.5,6.3,2.7,1.8,6.3
業種別,,住関連卸売業,155,35.5,25.8,8.4,12.3,9.0,2.6,6.5
業種別,,その他卸売業,270,41.9,26.7,8.9,8.5,8.5,3.3,2.2
従業者規模別,,１～５人,406,55.4,30.0,5.7,3.0,0.7,0.0,5.2
従業者規模別,,６～９人,119,32.8,38.7,7.6,12.6,3.4,0.8,4.2
従業者規模別,,10～49人,192,17.7,21.9,19.3,16.7,18.8,4.7,1.0
従業者規模別,,50人以上,28,7.1,7.1,3.6,25.0,35.7,21.4,0.0
取引形態別,一次卸,小売直取引卸,229,40.6,30.1,7.4,7.9,7.4,2.6,3.9
取引形態別,一次卸,他部門直取引卸,67,34.3,26.9,13.4,10.4,9.0,3.0,3.0
取引形態別,一次卸,元卸,127,40.2,28.3,7.1,11.0,7.9,1.6,3.9
取引形態別,二次卸,中間卸,93,43.0,28.0,11.8,7.5,5.4,2.2,2.2
取引形態別,二次卸,最終卸,131,38.2,29.0,12.2,11.5,6.1,1.5,1.5
取引形態別,その他,製造問屋,20,35.0,50.0,0.0,10.0,0.0,5.0,0.0
取引形態別,その他,その他卸,65,47.7,16.9,7.7,7.7,7.7,1.5,10.8
売上高規模別,,５千万円未満,207,69.6,20.3,4.3,0.5,0.0,0.0,5.3
売上高規模別,,５千万～１億円未満,108,46.3,34.3,6.5,1.9,0.9,0.9,9.3
売上高規模別,,１～３億円未満,146,30.1,45.2,6.8,13.0,0.7,0.0,4.1
売上高規模別,,３～５億円未満,62,35.5,27.4,12.9,11.3,9.7,3.2,0.0
売上高規模別,,５～10億円未満,75,25.3,30.7,16.0,14.7,12.0,1.3,0.0
売上高規模別,,10～30億円未満,101,21.8,16.8,17.8,18.8,20.8,3.0,1.0
売上高規模別,,30～50億円未満,21,9.5,19.0,4.8,23.8,28.6,9.5,4.8
売上高規模別,,50億円以上,26,7.7,7.7,11.5,19.2,30.8,23.1,0.0
