,,顧客に提供・販売している                ,現在開発中(顧客には提供・販売していない)                   ,無回答,ｎ
,今回調査（全体）,69.4,30,0.6,620
業種別,情報・コンテンツ業,62.4,37.6,0,234
業種別,専門サービス業,74,25,1,196
業種別,技術サービス業,60,38.7,1.3,75
業種別,事業サービス業,82.2,16.8,1,101
特定10業種別,ソフトウェア業,58.7,41.3,0,104
特定10業種別,インターネット附随サービス業,58.3,41.7,0,24
特定10業種別,映像情報制作・配給業,58.3,41.7,0,24
特定10業種別,出版業,70.6,29.4,0,17
特定10業種別,税理士事務所,84,16,0,25
特定10業種別,デザイン業,73.1,23.1,3.8,26
特定10業種別,経営コンサルタント業,68.8,29.7,1.6,64
特定10業種別,建築設計業,50,47.2,2.8,36
特定10業種別,自動車整備業,83.3,0,16.7,6
特定10業種別,建物サービス業,100,0,0,16
従業者規模別,1～2人,62,37,0.9,216
従業者規模別,3～5人,69,29.6,1.4,142
従業者規模別,6～9人,77.4,22.6,0,62
従業者規模別,10～29人,66,34,0,97
従業者規模別,30人以上,83.7,16.3,0,98
年間売上高増減別（３年前）,大幅(10％以上)増加,71.6,28.4,0,102
年間売上高増減別（３年前）,やや(10％未満)増加,83.6,16.4,0,73
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,70.2,28.2,1.6,124
年間売上高増減別（３年前）,やや(10％未満)減少,66.7,31.7,1.7,60
年間売上高増減別（３年前）,大幅(10％以上)減少,63.5,36,0.5,222
売上高経常利益率別,黒字,74.3,25.4,0.3,378
売上高経常利益率別,赤字,62,37.4,0.5,187
経常損益の変化別（３年前）,増益,73.9,25.5,0.7,153
経常損益の変化別（３年前）,横ばい,70.5,28.9,0.6,166
経常損益の変化別（３年前）,減益,65.9,33.7,0.4,255
代表者の年齢別,40歳未満,75,25,0,28
代表者の年齢別,40歳代,63.6,36.4,0,129
代表者の年齢別,50歳代,71.4,28,0.5,189
代表者の年齢別,60歳代,72.3,27.1,0.5,188
代表者の年齢別,70歳以上,62.3,35.1,2.6,77
