区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,労組あり／集計人員（人）,労組あり／平均年齢（歳）,労組あり／平均勤続年数（年）,労組あり／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組あり／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組あり／令和4年7月1か月の平均賃金／所定時間外賃金（円）,労組あり／令和3年年間給与支払額（円）,労組なし／集計人員（人）,労組なし／平均年齢（歳）,労組なし／平均勤続年数（年）,労組なし／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組なし／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組なし／令和4年7月1か月の平均賃金／所定時間外賃金（円）,労組なし／令和3年年間給与支払額（円）
調査産業計,25641,42.9,11.1,363904,11343,32453,5582454,3483,44.1,12.8,379842,11440,38112,5820055,22158,42.7,10.9,361456,11328,31569,5543949
建設業計,4004,41.8,11.7,364272,11558,45995,6176064,527,37.9,12.4,373538,13350,44594,6467326,3477,42.4,11.6,362866,11286,46208,6132404
建設業／総合工事業,1345,40.2,10.9,362807,12951,57535,6492289,389,38.3,11.9,374564,12923,48140,6603636,956,40.9,10.5,358003,12962,61440,6442963
建設業／職別工事業,1094,44.9,12.1,374415,10481,40446,5812527,-,-,-,-,-,-,-,1094,44.9,12.1,374415,10481,40446,5812527
建設業／設備工事業,1565,41.1,12.1,358434,11113,40230,6185578,138,36.9,13.9,370645,14553,34728,6086560,1427,41.5,11.9,357252,10781,40762,6194766
製造業計,6542,43.5,13.3,351229,12059,24123,5273945,1029,44.3,16.2,360486,14302,25968,5591010,5513,43.4,12.7,349505,11640,23763,5209974
製造業／食料品・たばこ・飼料製造業,201,41.1,10.9,311169,11707,11054,4406341,-,-,-,-,-,-,-,201,41.1,10.9,311169,11707,11054,4406341
製造業／繊維・衣服製造業,496,42,12.1,326653,16707,19181,4489592,-,-,-,-,-,-,-,496,42,12.1,326653,16707,19181,4489592
製造業／木材・木製品・紙・パルプ製造業,499,42.5,11.5,303994,10037,17193,4736826,40,40.1,17.7,350909,15034,7216,5610080,459,42.7,10.9,299906,9601,18063,4649935
製造業／印刷・同関連業,977,44.1,14.4,330084,14808,37733,4768353,222,47.5,15.6,333759,15235,33170,4600366,755,43.2,14.1,329001,14682,39075,4822099
製造業／化学工業,590,41.1,9.2,392343,7826,3396,5498193,5,43.6,18,360139,17113,5483,5693100,585,41.1,9.1,392620,7747,3377,5496542
製造業／プラスチック製品製造業,261,43.7,12,373495,13438,22126,6069791,-,-,-,-,-,-,-,261,43.7,12,373495,13438,22126,6069791
製造業／ゴム製品・革・毛皮製造業,253,45.3,11,375494,15715,12476,5469426,107,44.4,11.3,439358,18935,14052,6630690,146,46,10.7,328040,13356,11188,4544043
製造業／窯業・土石製品製造業,707,43.9,15.9,350910,11473,32775,5569187,325,42.8,19.3,370135,14611,42520,6221304,382,44.8,13.1,334705,8803,24484,5009197
製造業／鉄鋼・非鉄金属製造業,257,43.9,14.9,359467,11019,11203,5387280,19,48.1,16.3,446115,16423,13998,6678489,238,43.6,14.8,352550,10587,10934,5283522
製造業／金属製品製造業,314,41.4,13.5,323276,11750,20349,5210907,7,37.9,9,308307,0,960,5314940,307,41.5,13.6,323618,12018,20795,5209069
製造業／はん用・生産用・業務用機械器具製造業,700,44.5,12.9,340244,10920,26697,5334024,220,43.3,13.5,329332,9720,12461,4937115,480,45.1,12.6,345245,11471,33249,5522312
製造業／電気・電子部品・精密機械器具製造業,432,46.4,17.9,329110,11808,26711,5127741,26,46.1,21.1,372637,16656,12052,5348317,406,46.4,17.7,326308,11497,27696,5113699
製造業／輸送用機械器具製造業,617,44,13.2,433192,9495,28869,6278933,56,45.8,18.5,362520,17553,6641,6325337,561,43.8,12.7,440043,8691,31087,6273658
製造業／その他の製造業,238,44.5,13.2,361180,14439,32004,5742679,2,x,x,x,x,x,x,236,44.4,13.3,361445,14535,32204,5754976
