表側１,表側２,表側３,回答企業数(件),品揃えの幅(フルラインナップ・一括供給)(％),品揃えの深さ(専門性)(％),商材の発掘(％),新商品の企画・開発(％),顧客への品揃えの提案(％),顧客の売場づくり支援(％),顧客への販促提案(％),顧客への情報提供(％),短納期や納期の短縮化(％),小口受注・小口配送(％),多頻度配送(％),情報収集・分析(％),金融機能(％),他事業者との連携(％),その他(％),業務の効率化・合理化(％),特になし(％),無回答(％)
,,今回調査（全体）,136,25.7,38.2,39,34.6,24.3,8.8,37.5,44.1,11.8,14,4.4,27.9,1.5,8.8,3.7,15.4,3.7,0.7
業種別,,食料品卸売業,52,30.8,42.3,38.5,28.8,32.7,15.4,50,42.3,5.8,17.3,5.8,21.2,1.9,13.5,3.8,11.5,3.8,1.9
業種別,,生鮮食品卸売業,25,24,44,32,24,32,16,44,44,4,16,8,20,4,16,0,8,8,0
業種別,,加工食品等卸売業,27,37,40.7,44.4,33.3,33.3,14.8,55.6,40.7,7.4,18.5,3.7,22.2,0,11.1,7.4,14.8,0,3.7
業種別,,衣料品関連卸売業,19,15.8,47.4,36.8,47.4,26.3,0,26.3,36.8,31.6,5.3,0,31.6,0,0,0,26.3,5.3,0
業種別,,住関連卸売業,13,7.7,23.1,30.8,23.1,0,0,30.8,53.8,23.1,7.7,0,23.1,7.7,15.4,0,38.5,0,0
業種別,,その他卸売業,50,30,36,44,40,22,8,30,48,8,16,6,36,0,4,6,10,4,0
従業者規模別,,1～5人,48,25,35.4,37.5,35.4,20.8,6.3,29.2,43.8,12.5,16.7,2.1,27.1,0,2.1,2.1,8.3,8.3,2.1
従業者規模別,,6～9人,22,27.3,50,40.9,36.4,27.3,18.2,40.9,40.9,9.1,9.1,4.5,31.8,4.5,22.7,9.1,13.6,4.5,0
従業者規模別,,10～49人,47,29.8,42.6,42.6,34,19.1,8.5,36.2,44.7,8.5,12.8,4.3,29.8,2.1,8.5,4.3,14.9,0,0
従業者規模別,,50人以上,17,17.6,17.6,35.3,35.3,41.2,5.9,58.8,47.1,23.5,17.6,11.8,23.5,0,11.8,0,41.2,0,0
取引形態別,一次卸,小売直取引卸,36,27.8,36.1,36.1,44.4,22.2,11.1,52.8,38.9,11.1,8.3,2.8,25,0,13.9,0,22.2,2.8,0
取引形態別,一次卸,他部門直取引卸,14,21.4,35.7,35.7,7.1,14.3,0,21.4,64.3,7.1,14.3,0,35.7,7.1,7.1,0,21.4,0,7.1
取引形態別,一次卸,元卸,38,26.3,47.4,47.4,50,26.3,15.8,28.9,44.7,7.9,10.5,2.6,26.3,0,7.9,13.2,13.2,2.6,0
取引形態別,二次卸,中間卸,10,30,60,60,20,20,10,20,30,20,40,10,20,10,10,0,20,0,0
取引形態別,二次卸,最終卸,19,21.1,42.1,31.6,31.6,36.8,5.3,42.1,47.4,5.3,5.3,5.3,36.8,0,5.3,0,10.5,5.3,0
取引形態別,その他,製造問屋,4,50,25,50,0,75,0,50,100,75,50,25,25,0,25,0,0,0,0
取引形態別,その他,その他卸,14,14.3,7.1,14.3,21.4,7.1,0,35.7,28.6,14.3,21.4,7.1,28.6,0,0,0,7.1,14.3,0
経常損益の変化別(前年同期比),,増益,23,30.4,39.1,43.5,26.1,21.7,17.4,47.8,60.9,13,13,4.3,30.4,0,8.7,13,8.7,0,0
経常損益の変化別(前年同期比),,横ばい,30,26.7,36.7,36.7,36.7,26.7,10,50,33.3,10,16.7,0,30,0,6.7,0,13.3,0,3.3
経常損益の変化別(前年同期比),,減益,78,24.4,38.5,38.5,35.9,25.6,6.4,29.5,43.6,12.8,14.1,6.4,25.6,2.6,10.3,2.6,19.2,6.4,0
経常損益の変化別(３年前),,増益,53,24.5,41.5,41.5,39.6,28.3,13.2,39.6,45.3,7.5,7.5,0,30.2,0,9.4,5.7,18.9,0,0
経常損益の変化別(３年前),,横ばい,49,22.4,38.8,36.7,34.7,18.4,8.2,38.8,44.9,14.3,16.3,2,22.4,2,12.2,2,12.2,4.1,2
経常損益の変化別(３年前),,減益,32,34.4,31.3,40.6,28.1,28.1,3.1,31.3,40.6,15.6,21.9,15.6,34.4,3.1,3.1,3.1,15.6,9.4,0
