区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,977,51.4,10.3,313829,9484,20145,4261339,548,54.4,11.8,350579,10625,27637,4714942,429,47.5,8.3,251618,8025,10283,3405189
建設業,113,57.6,14.5,302276,11671,61943,4695092,101,57.8,15.1,304821,10463,65490,4723129,12,55.5,9.4,281921,21838,32085,4255850
製造業,262,54.1,13.2,244213,9107,9709,3396981,136,55.5,16,259992,9634,11702,3724041,126,52.7,10.1,221262,8539,7524,2935743
情報通信業,32,46.7,6.2,425809,11913,4835,4191276,22,48.5,6,464011,12071,5349,4642768,10,42.5,6.6,330302,11564,3705,3175419
運輸業，郵便業,51,55.4,11.6,238190,3351,23771,3942067,31,59.7,12,261579,5217,25375,3319916,20,48.8,10.9,209788,459,21285,5319686
卸売業，小売業,134,46.5,8.2,306483,10338,8253,4040883,66,48.1,7.4,348023,14467,11651,4557355,68,44.7,8.9,246980,6330,4553,3257271
金融業，保険業,74,47.1,7.8,449165,10864,17139,7096820,41,48.6,7.9,560000,8932,10321,9192570,33,45.3,7.8,313304,13265,25609,4477133
不動産業，物品賃貸業,74,51.7,3.6,264963,9658,15384,3509630,40,60.5,4.7,304161,15685,25009,3695950,34,41.5,2.5,166966,2568,4060,2604648
学術研究，専門・技術サービス業,57,48.7,5.4,585257,12316,58894,7986682,35,50.6,5.1,720081,8945,86160,9745000,22,45.9,5.8,366970,17679,15517,4470046
宿泊業，飲食サービス業,38,37.1,4.6,250442,8428,13188,2871017,15,41,6.5,275383,13624,15913,3006756,23,34.6,3.3,220512,5040,11410,2735278
生活関連サービス業，娯楽業,33,57.8,14.9,294452,8105,3829,3819308,3,x,x,x,x,x,x,30,57.7,13.7,243001,7443,2026,3071745
教育，学習支援業（学校教育を除く）,31,33.8,5.2,257734,4336,120,3145312,11,28.5,5,248477,3347,0,3278079,20,36.7,5.3,260378,4880,189,3056800
医療，福祉,22,50.7,5.8,251214,5042,704,2897146,5,50.8,2.8,259716,1128,626,2838900,17,50.7,6.7,248380,6194,721,2914620
サービス業（他に分類されないもの）,56,59.6,16.3,248413,10169,16335,2841674,42,66.1,19.2,251043,11328,9176,2819936,14,40.1,7.6,230659,6691,37812,2928625
