区分,集計企業数（社）,(1)～(11)／回答数（社）,複数回答／営業販売系／(1)+(2)小計（社）, 複数回答／営業販売系／(1)営業（社）, 複数回答／営業販売系／(2) 販売（社）,複数回答／事務系／(3)～(5)小計（社）,複数回答／事務系／(3)一般事務（社）,複数回答／事務系／(4)会計事務（社）,複数回答／事務系／(5)営業事務・販売事務（社）,複数回答／技術系／(6)～(9)小計（社）,複数回答／技術系／(6)機械技術（社）,複数回答／技術系／(7)電気技術（社）,複数回答／技術系／(8)情報処理技術（社）,複数回答／技術系／(9)その他の技術（社）,複数回答／生産系／(10)+(11)小計（社）,複数回答／生産系／(10)生産・作業（社）,複数回答／生産系／(11)運転・運搬（社）,複数回答／(12)その他（社）,回答なし（社）
調査産業計,876,1120,308,243,65,437,234,94,109,219,45,37,49,88,156,122,34,75,296
労組有,63,124,30,26,4,54,24,15,15,24,6,7,3,8,16,11,5,7,19
労組無,813,996,278,217,61,383,210,79,94,195,39,30,46,80,140,111,29,68,277
建設業,71,67,5,5,-,18,13,3,2,35,6,9,1,19,9,8,1,2,23
製造業,207,440,114,106,8,160,68,42,50,81,30,19,7,25,85,79,6,12,38
情報通信業,58,91,20,20,-,36,19,7,10,34,1,1,27,5,1,-,1,7,16
運輸業，郵便業,42,52,7,6,1,20,12,4,4,1,-,-,-,1,24,6,18,3,12
卸売業，小売業,180,275,121,72,49,99,61,15,23,32,4,6,4,18,23,16,7,10,36
金融業，保険業,27,35,13,13,-,19,13,3,3,3,-,-,3,-,-,-,-,1,4
不動産業，物品賃貸業,16,9,-,-,-,6,4,2,-,3,-,1,-,2,-,-,-,1,9
学術研究，専門・技術サービス業,57,30,2,1,1,23,11,7,5,5,-,-,3,2,-,-,-,4,37
宿泊業，飲食サービス業,43,12,2,-,2,7,2,3,2,1,-,-,-,1,2,2,-,6,29
生活関連サービス業，娯楽業,34,53,15,12,3,26,14,4,8,7,2,-,1,4,5,4,1,5,4
教育，学習支援業（学校教育を除く）,30,19,4,3,1,10,6,2,2,4,-,-,1,3,1,1,-,7,13
医療，福祉,57,5,-,-,-,2,2,-,-,3,-,-,-,3,-,-,-,10,44
サービス業（他に分類されないもの）,54,32,5,5,-,11,9,2,-,10,2,1,2,5,6,6,-,7,31
10～49人,585,666,197,143,54,255,137,56,62,121,22,17,24,58,93,76,17,55,206
50～99人,188,261,65,57,8,104,57,21,26,56,11,11,17,17,36,28,8,12,71
100～299人,103,193,46,43,3,78,40,17,21,42,12,9,8,13,27,18,9,8,19
