学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,40,191,8,89,0.5,17,112,0.6
高校卒,3,21,33,205,33,187,0.9,35,279,1.4
高校卒,5,23,33,218,40,354,1.6,40,496,2.3
高校卒,10,28,34,241,44,883,3.7,44,1213,5
高校卒,15,33,33,279,43,1740,6.2,43,2288,8.2
高校卒,20,38,35,311,46,2850,9.2,46,3517,11.3
高校卒,25,43,32,347,42,4444,12.8,42,5240,15.1
高校卒,30,48,32,374,43,5866,15.7,43,6787,18.1
高校卒,35,53,31,406,40,7970,19.6,40,8591,21.2
高校卒,37,55,32,419,41,8399,20,41,9899,23.6
高校卒,定年,定年,29,439,-,-,-,37,11334,25.8
高専・短大卒,1,21,30,207,6,117,0.6,13,118,0.6
高専・短大卒,3,23,27,222,23,236,1.1,24,332,1.5
高専・短大卒,5,25,25,238,29,414,1.7,29,547,2.3
高専・短大卒,10,30,27,272,34,1009,3.7,34,1329,4.9
高専・短大卒,15,35,26,305,33,1929,6.3,33,2499,8.2
高専・短大卒,20,40,26,342,35,2980,8.7,35,3719,10.9
高専・短大卒,25,45,26,385,33,4558,11.8,33,5432,14.1
高専・短大卒,30,50,27,417,35,6082,14.6,35,7141,17.1
高専・短大卒,35,55,27,445,34,8075,18.1,34,9012,20.3
高専・短大卒,定年,定年,25,460,-,-,-,31,11427,24.8
大学卒,1,23,40,222,8,123,0.6,16,137,0.6
大学卒,3,25,37,234,32,261,1.1,35,392,1.7
大学卒,5,27,36,251,40,459,1.8,40,671,2.7
大学卒,10,32,38,287,45,1200,4.2,45,1667,5.8
大学卒,15,37,36,321,43,2298,7.2,43,2981,9.3
大学卒,20,42,37,368,45,3765,10.2,45,4631,12.6
大学卒,25,47,37,408,44,5501,13.5,44,6482,15.9
大学卒,30,52,38,442,46,7092,16,46,8425,19.1
大学卒,33,55,38,462,45,8748,18.9,45,9771,21.1
大学卒,定年,定年,34,475,-,-,-,43,12203,25.7
