表側１,表側２,表側３,回答企業数(件),新規顧客を重視する(%),既存顧客を重視する(%),どちらともいえない(%),わからない(%),無回答(%)
,,今回調査（全体）,2141,9.4,49.0,30.7,8.7,2.2
,,前回調査,2003,8.2,50.4,29.3,9.5,2.6
業種別,,総合商品小売業,189,13.2,48.1,33.3,4.2,1.1
業種別,,生鮮食品小売業,134,6.0,54.5,26.1,10.4,3.0
業種別,,食料品関連小売業,535,7.9,49.7,30.1,10.1,2.2
業種別,,衣料品関連小売業,298,13.8,47.3,31.5,4.7,2.7
業種別,,住関連小売業,167,8.4,54.5,26.9,8.4,1.8
業種別,,その他小売業,773,7.9,47.7,31.8,10.2,2.3
従業者規模別,,１～２人,1066,8.4,49.5,28.4,11.4,2.2
従業者規模別,,３～５人,486,8.2,51.2,30.5,7.0,3.1
従業者規模別,,６～19人,336,13.1,48.8,34.2,2.7,1.2
従業者規模別,,20人以上,170,9.4,42.9,42.4,4.1,1.2
