表側,構成比
各種商品卸売業(%),0.4
繊維・衣服等卸売業(%),9.8
飲食料品卸売業(%),15.6
建築材料，鉱物・金属材料等卸売業(%),21.6
機械器具卸売業(%),26.8
その他の卸売業(%),25.7
事業所数(所),36197
