表側１,表側２,表側３,回答企業数(件),常に見直し(％),定期的に見直し(％),随時必要に応じて(％),あまり行わない(％),自店では見直しできない(％),その他(％),無回答(％)
,,今回調査（全体）,2003,2.5,3.2,32.6,41.1,15.4,1,4.2
,,前回調査,2189,3.2,3.5,32.7,40.4,15,1.3,3.8
業種別,,総合商品小売業,164,0,1.2,6.7,9.1,69.5,4.3,9.1
業種別,,生鮮食品小売業,113,0,0.9,25.7,49.6,14.2,0.9,8.8
業種別,,食料品関連小売業,511,2.2,2.3,32.5,52.4,7.4,0.8,2.3
業種別,,衣料品関連小売業,314,2.2,3.2,52.5,32.5,7,0.3,2.2
業種別,,住関連小売業,162,5.6,4.9,28.4,51.2,4.3,0.6,4.9
業種別,,その他小売業,737,3.1,4.2,31.8,40.4,15.1,0.9,4.5
従業者規模別,,1～2人,1059,2,2,30,48.3,12.8,0.8,4.1
従業者規模別,,3～5人,488,3.7,3.5,40.2,41.8,5.9,1.2,3.7
従業者規模別,,6～19人,272,3.7,8.1,32.4,25.7,23.9,0.7,5.5
従業者規模別,,20人以上,134,0.7,2.2,27.6,11.9,51.5,2.2,3.7
売上高増減別(前年同期比),,増加,138,2.9,2.2,33.3,37.7,18.8,0.7,4.3
売上高増減別(前年同期比),,横ばい,251,2,3.2,29.1,43.4,19.1,1.2,2
売上高増減別(前年同期比),,減少,1536,2.5,3.5,33.9,41.3,14.7,1,3.1
売上高増減別(3年前),,増加,130,3.8,4.6,41.5,26.9,19.2,0.8,3.1
売上高増減別(3年前),,横ばい,338,3,3.6,33.1,39.9,16.3,1.5,2.7
売上高増減別(3年前),,減少,1346,2.5,2.9,32.6,43.7,14.3,0.9,3.1
経常損益の変化別(前年同期比),,増益,109,0.9,2.8,33.9,38.5,18.3,0.9,4.6
経常損益の変化別(前年同期比),,横ばい,337,2.4,2.7,28.5,43.9,18.4,1.8,2.4
経常損益の変化別(前年同期比),,減益,1406,2.6,3.5,34.6,40.7,14.8,0.9,2.8
経常損益の変化別(3年前),,増益,208,3.4,3.4,37.5,38,14.4,1,2.4
経常損益の変化別(3年前),,横ばい,615,1.6,3.6,31.4,44.7,15,1.1,2.6
経常損益の変化別(3年前),,減益,937,2.8,3,33.6,40.4,16.3,1,2.9
