区分,10～49人／集計人員（人）,10～49人／平均年齢（歳）,10～49人／平均勤続年数（年）,10～49人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,10～49人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,10～49人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,10～49人／令和4年年間給与支払額（円）,50～99人／集計人員（人）,50～99人／平均年齢（歳）,50～99人／平均勤続年数（年）,50～99人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,50～99人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,50～99人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,50～99人／令和4年年間給与支払額（円）,100～299人／集計人員（人）,100～299人／平均年齢（歳）,100～299人／平均勤続年数（年）,100～299人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,100～299人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,100～299人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,100～299人／令和4年年間給与支払額（円）
調査産業計,6169,44.9,11,358235,10122,24910,5196869,4857,42.8,11.1,394798,11620,28668,5715674,5176,41.6,11.5,390835,10941,28691,6216746
建設業計,671,44.8,10.4,371790,5353,34856,5902945,584,44.8,12.4,378553,7732,51021,5699908,856,41.8,13.5,351642,8747,51384,6398564
建設業／総合工事業,365,46.1,10,394302,3405,21661,6094307,144,49.4,8.7,342579,6871,87940,5431439,360,40.8,14.7,372177,8125,58463,6920041
建設業／職別工事業,96,47.7,9,309855,2899,45649,4867596,262,47.3,16.1,434306,9998,37681,6036005,337,44.5,11,341724,8601,45412,5569339
建設業／設備工事業,210,41.3,11.8,358856,9860,49960,5984587,178,37.6,10,324806,5092,37791,5370526,159,38,15.9,326627,10465,48011,7033932
製造業計,1305,46.7,14.5,339431,11680,21394,5032485,1487,44,13.7,342961,13531,22431,5007166,1087,42.2,12.3,335431,12724,22667,5112855
製造業／食料品・たばこ・飼料製造業,52,46.8,13.3,304902,13360,16825,4580320,83,45.7,14.1,296757,5620,11399,4056932,47,43,15.5,366258,15552,4076,4910367
製造業／繊維・衣服製造業,99,46,16.9,341211,17188,29249,4564860,19,46.2,12.9,393374,19000,18167,6190181,-,-,-,-,-,-,-
製造業／木材・木製品・紙・パルプ製造業,79,45.7,14.4,363865,10773,6210,4941113,34,42.2,12.1,338599,13826,12398,4641417,27,42.5,10.1,314834,13550,9147,4547925
製造業／印刷・同関連業,86,47.8,13.5,288241,10511,34855,4340306,274,44,13.5,306239,13266,31854,4210395,132,38.8,11.1,314661,15434,25131,4811862
製造業／化学工業,69,46.1,14.2,371625,15614,2780,5767124,236,42.5,12.4,449728,16668,19468,5431493,5,46.2,9.4,346351,15015,21962,5676025
製造業／プラスチック製品製造業,87,48.3,10,365429,12536,13090,5238909,40,47,13.2,297142,16086,647,4950106,-,-,-,-,-,-,-
製造業／ゴム製品・革・毛皮製造業,54,48.2,19.9,346181,9681,8055,4729933,20,47.2,16.3,400798,8192,0,6311860,8,45.5,14.9,411541,14497,8768,5791529
製造業／窯業・土石製品製造業,98,44,14.2,350436,13532,12426,5114696,144,40.7,14.2,348567,13443,30148,5516429,240,41.5,12.3,356066,11231,25910,5403364
製造業／鉄鋼・非鉄金属製造業,123,41.9,10.6,328997,11999,15824,5138475,51,41.7,15.5,331042,19382,34854,5244696,46,42.6,18.3,303146,21364,17493,4615326
製造業／金属製品製造業,86,45.7,16.3,313797,10316,47030,4888631,140,41.1,11.3,299208,10836,31905,5745475,103,40.1,12.7,336842,18002,31062,5480508
製造業／はん用・生産用・業務用機械器具製造業,96,49.2,15.9,332490,9514,22656,4877818,61,46.9,9.9,330288,15062,21334,5569650,73,42.8,14.9,413738,18070,11422,6321345
