表側１,表側２,表側３,回答企業数(件),３百万円未満(％),３～５百万円未満(％),５百万～１千万円未満(％),１～２千万円未満(％),２～３千万円未満(％),３千万～１億円未満(％),１億円以上(％),無回答(％)
,,"今回調査
（全体）",732,5.7,17.6,9.2,40.7,7.8,16.0,2.6,0.4
,,前回調査,692,3.6,17.5,11.0,42.2,8.8,13.2,1.9,1.9
業種別,,食料品卸売業,201,6.0,17.4,11.4,38.3,8.0,15.9,3.0,0.0
業種別,,生鮮食品卸売業,88,4.5,20.5,14.8,39.8,11.4,9.1,0.0,0.0
業種別,,加工食品等卸売業,113,7.1,15.0,8.8,37.2,5.3,21.2,5.3,0.0
業種別,,衣料品関連卸売業,108,8.3,18.5,13.9,37.0,7.4,13.0,1.9,0.0
業種別,,住関連卸売業,146,5.5,15.8,7.5,36.3,12.3,17.8,4.1,0.7
業種別,,その他卸売業,259,4.6,17.8,6.6,46.7,4.6,17.0,1.9,0.8
取引形態別,一次卸,小売直取引卸,216,5.6,22.7,8.8,41.2,5.1,14.8,0.9,0.9
取引形態別,一次卸,他部門直取引卸,65,6.2,9.2,6.2,43.1,9.2,23.1,3.1,0.0
取引形態別,一次卸,元卸,125,5.6,10.4,8.0,36.8,11.2,22.4,5.6,0.0
取引形態別,二次卸,中間卸,85,7.1,20.0,8.2,42.4,7.1,14.1,1.2,0.0
取引形態別,二次卸,最終卸,127,3.9,16.5,13.4,43.3,9.4,10.2,3.1,0.0
取引形態別,その他,製造問屋,19,5.3,5.3,21.1,36.8,5.3,26.3,0.0,0.0
取引形態別,その他,その他卸,61,8.2,21.3,6.6,36.1,6.6,14.8,4.9,1.6
