学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,60,184,16,66,0.4,28,103,0.6
高校卒,3,21,54,196,66,213,1.1,62,314,1.6
高校卒,5,23,52,208,73,402,1.9,70,550,2.6
高校卒,10,28,55,235,78,979,4.2,74,1438,6.1
高校卒,15,33,52,271,75,1862,6.9,71,2409,8.9
高校卒,20,38,51,294,74,2979,10.1,70,3666,12.5
高校卒,25,43,47,327,70,4383,13.4,65,5280,16.1
高校卒,30,48,49,355,72,5924,16.7,67,6719,18.9
高校卒,35,53,45,392,67,7366,18.8,63,8502,21.7
高校卒,37,55,46,402,64,8071,20.1,58,9487,23.6
高校卒,定年,定年,49,404,-,-,-,62,10659,26.4
高専・短大卒,1,21,60,196,17,80,0.4,27,104,0.5
高専・短大卒,3,23,56,208,66,219,1.1,64,291,1.4
高専・短大卒,5,25,54,222,72,413,1.9,70,533,2.4
高専・短大卒,10,30,53,251,76,1014,4,72,1305,5.2
高専・短大卒,15,35,55,283,77,1896,6.7,72,2363,8.3
高専・短大卒,20,40,52,313,76,2955,9.4,72,3526,11.3
高専・短大卒,25,45,52,353,74,4240,12,68,5097,14.4
高専・短大卒,30,50,51,382,73,5728,15,68,6758,17.7
高専・短大卒,35,55,50,409,72,7107,17.4,68,8274,20.2
高専・短大卒,定年,定年,48,412,-,-,-,58,9792,23.8
大学卒,1,23,75,213,23,113,0.5,34,130,0.6
大学卒,3,25,74,225,83,270,1.2,80,343,1.5
大学卒,5,27,74,243,94,574,2.4,88,731,3
大学卒,10,32,73,278,95,1198,4.3,91,1606,5.8
大学卒,15,37,70,318,91,2316,7.3,87,2822,8.9
大学卒,20,42,65,357,88,3720,10.4,84,4476,12.5
大学卒,25,47,67,393,88,5258,13.4,84,6281,16
大学卒,30,52,67,421,88,6894,16.4,84,8134,19.3
大学卒,33,55,66,448,88,8134,18.2,84,9325,20.8
大学卒,定年,定年,66,447,-,-,-,79,11418,25.5
