表側１,表側２,表側３,回答企業数(件),思う(％),やや思う(％),あまり思わない(％),思わない(％),わからない(％),無回答(％)
,,今回調査（全体）,760,13.2,36.7,20.4,10.4,14.5,4.9
業種別,,食料品卸売業,237,13.1,35,21.1,8.4,14.8,7.6
業種別,,生鮮食品卸売業,126,11.1,36.5,21.4,7.1,14.3,9.5
業種別,,加工食品等卸売業,111,15.3,33.3,20.7,9.9,15.3,5.4
業種別,,衣料品関連卸売業,145,11.7,40.7,17.9,11.7,11.7,6.2
業種別,,住関連卸売業,83,16.9,32.5,24.1,9.6,15.7,1.2
業種別,,その他卸売業,288,12.8,36.8,20.5,11.5,15.3,3.1
従業者規模別,,1～5人,399,9.8,27.3,20.3,15.5,21.1,6
従業者規模別,,6～9人,101,14.9,38.6,25.7,5,9.9,5.9
従業者規模別,,10～49人,208,18.3,47.6,20.2,4.3,6.7,2.9
従業者規模別,,50人以上,36,13.9,69.4,11.1,2.8,2.8,0
取引形態別,一次卸,小売直取引卸,219,16,34.2,21.9,12.3,10.5,5
取引形態別,一次卸,他部門直取引卸,50,16,48,18,6,12,0
取引形態別,一次卸,元卸,154,14.3,46.1,18.8,8.4,9.7,2.6
取引形態別,二次卸,中間卸,85,9.4,23.5,22.4,14.1,21.2,9.4
取引形態別,二次卸,最終卸,135,11.1,43,20,5.2,17.8,3
取引形態別,その他,製造問屋,19,15.8,31.6,31.6,0,10.5,10.5
取引形態別,その他,その他卸,77,7.8,26,18.2,19.5,23.4,5.2
経常損益の変化別(前年同期比),,増益,67,23.9,44.8,16.4,3,9,3
経常損益の変化別(前年同期比),,横ばい,124,11.3,39.5,22.6,12.1,11.3,3.2
経常損益の変化別(前年同期比),,減益,543,12.2,35,21,11,15.5,5.3
経常損益の変化別(３年前),,増益,128,17.2,32.8,23.4,7,10.9,8.6
経常損益の変化別(３年前),,横ばい,229,10.5,41.9,20.5,10.5,13.1,3.5
経常損益の変化別(３年前),,減益,351,13.1,33.6,20.2,11.7,16.8,4.6
