,,活用の仕方がわからない                  ,人材が不足          ,知識が不足          ,資金が不足          ,その他              ,無回答            ,   n
, 今回調査（全体）,51.1,38.3,72.3,19.1,6.4,0,47
業種別,情報・コンテンツ業,50,60,70,10,10,0,10
業種別,専門サービス業,60.9,34.8,69.6,17.4,4.3,0,23
業種別,技術サービス業,40,80,80,60,0,0,5
業種別,事業サービス業,33.3,0,77.8,11.1,11.1,0,9
