表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(30％未満)(％),減少(50％未満)(％),大幅減少(50％以上)(％),無回答(％)
,,今回調査（全体）,760,7.6,16.7,26.1,18.7,28.4,2.5
業種別,,食料品卸売業,237,5.9,15.2,27.8,19.8,30.4,0.8
業種別,,生鮮食品卸売業,126,4,15.1,27.8,20.6,31.7,0.8
業種別,,加工食品等卸売業,111,8.1,15.3,27.9,18.9,28.8,0.9
業種別,,衣料品関連卸売業,145,6.2,18.6,20.7,22.1,31.7,0.7
業種別,,住関連卸売業,83,6,18.1,27.7,14.5,28.9,4.8
業種別,,その他卸売業,288,10.4,16.3,27.1,16.3,25.7,4.2
従業者規模別,,1～5人,399,4.3,13.5,23.1,19,36.8,3.3
従業者規模別,,6～9人,101,13.9,26.7,28.7,13.9,16.8,0
従業者規模別,,10～49人,208,10.6,17.3,30.8,18.8,19.7,2.9
従業者規模別,,50人以上,36,8.3,16.7,27.8,25,22.2,0
取引形態別,一次卸,小売直取引卸,219,5.9,20.5,24.7,21.5,25.6,1.8
取引形態別,一次卸,他部門直取引卸,50,10,22,32,14,20,2
取引形態別,一次卸,元卸,154,11,20.1,27.9,14.9,24,1.9
取引形態別,二次卸,中間卸,85,2.4,10.6,24.7,18.8,41.2,2.4
取引形態別,二次卸,最終卸,135,7.4,10.4,29.6,21.5,28.9,2.2
取引形態別,その他,製造問屋,19,21.1,10.5,10.5,5.3,52.6,0
取引形態別,その他,その他卸,77,7.8,16.9,26,18.2,27.3,3.9
