表側,2016年
各種商品卸売業(％),15.9
繊維・衣服等卸売業(％),2.5
飲食料品卸売業(％),15
建築材料，鉱物・金属材料等卸売業(％),29.4
機械器具卸売業(％),24.2
その他の卸売業(％),12.9
年間商品販売額(億円),1669158
