表側１,表側２,表側３,回答企業数(件),常に見直し(％),定期的に見直し(％),随時必要に応じて(％),ほとんど行わない(％),その他(％),無回答(％)
,,"今回調査
（全体）",767,4.2,3.8,47.3,40.2,0.7,3.9
,,前回調査,760,5.1,4.1,45.4,40.3,2.4,2.8
業種別,,食料品卸売業,213,4.7,3.8,46.9,40.4,0.9,3.3
業種別,,生鮮食品卸売業,91,3.3,0.0,47.3,45.1,0.0,4.4
業種別,,加工食品等卸売業,122,5.7,6.6,46.7,36.9,1.6,2.5
業種別,,衣料品関連卸売業,111,6.3,4.5,51.4,31.5,0.0,6.3
業種別,,住関連卸売業,155,3.2,5.8,47.7,34.8,1.3,7.1
業種別,,その他卸売業,270,3.3,2.6,47.0,45.6,0.0,1.5
従業者規模別,,１～５人,406,5.7,2.0,38.2,49.0,0.2,4.9
従業者規模別,,６～９人,119,0.0,4.2,58.0,31.9,1.7,4.2
従業者規模別,,10～49人,192,4.7,7.3,57.8,28.1,0.5,1.6
従業者規模別,,50人以上,28,0.0,3.6,64.3,28.6,0.0,3.6
取引形態別,一次卸,小売直取引卸,229,5.2,4.4,46.7,38.4,0.4,4.8
取引形態別,一次卸,他部門直取引卸,67,7.5,4.5,50.7,32.8,1.5,3.0
取引形態別,一次卸,元卸,127,3.1,2.4,52.8,36.2,0.8,4.7
取引形態別,二次卸,中間卸,93,2.2,6.5,37.6,50.5,1.1,2.2
取引形態別,二次卸,最終卸,131,4.6,3.1,49.6,41.2,0.0,1.5
取引形態別,その他,製造問屋,20,0.0,0.0,65.0,35.0,0.0,0.0
取引形態別,その他,その他卸,65,3.1,3.1,47.7,38.5,0.0,7.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,4.2,3.3,55.0,32.5,0.0,5.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,2.8,4.6,49.1,38.0,0.0,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,3.9,3.2,47.4,41.6,0.6,3.2
年間売上高増減別（3年前）,,やや減少（10％未満）,124,4.8,6.5,45.2,39.5,0.8,3.2
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,4.7,3.0,45.5,42.5,0.9,3.4
売上高経常利益率別,,黒字（プラス）,462,3.2,3.5,50.2,38.1,0.2,4.8
売上高経常利益率別,,赤字（マイナス）,271,5.9,4.1,43.5,42.4,1.1,3.0
経常損益の変化別（3年前）,,増益,197,5.1,4.1,50.3,35.5,0.0,5.1
経常損益の変化別（3年前）,,横ばい,240,3.3,5.0,44.6,42.9,0.4,3.8
経常損益の変化別（3年前）,,減益,305,4.3,2.6,49.2,39.7,0.7,3.6
