学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,3,x,-,-,-,-,-,-
高校卒,3,21,3,x,2,x,x,2,x,x
高校卒,5,23,3,x,3,x,x,3,x,x
高校卒,10,28,3,x,3,x,x,3,x,x
高校卒,15,33,3,x,3,x,x,3,x,x
高校卒,20,38,3,x,3,x,x,3,x,x
高校卒,25,43,3,x,3,x,x,3,x,x
高校卒,30,48,3,x,3,x,x,3,x,x
高校卒,35,53,3,x,3,x,x,3,x,x
高校卒,37,55,3,x,3,x,x,3,x,x
高校卒,定年,定年,3,x,-,-,-,2,x,x
高専・短大卒,1,21,5,196,-,-,-,1,x,x
高専・短大卒,3,23,5,207,4,x,x,4,x,x
高専・短大卒,5,25,5,223,5,373,1.7,5,519,2.3
高専・短大卒,10,30,5,256,5,1056,4.1,5,1251,4.9
高専・短大卒,15,35,5,278,5,1972,7.1,5,2246,8.1
高専・短大卒,20,40,5,339,5,3050,9,5,3444,10.2
高専・短大卒,25,45,5,380,5,4380,11.5,5,4944,13
高専・短大卒,30,50,5,415,5,5772,13.9,5,6528,15.7
高専・短大卒,35,55,5,420,5,6715,16,5,7640,18.2
高専・短大卒,定年,定年,5,396,-,-,-,3,x,x
大学卒,1,23,5,219,-,-,-,-,-,-
大学卒,3,25,5,238,4,x,x,4,x,x
大学卒,5,27,5,260,5,445,1.7,5,616,2.4
大学卒,10,32,5,297,5,1273,4.3,5,1561,5.3
大学卒,15,37,5,349,5,2438,7,5,2821,8.1
大学卒,20,42,5,406,5,3866,9.5,5,4348,10.7
大学卒,25,47,5,454,5,5817,12.8,5,6291,13.9
大学卒,30,52,5,472,5,7939,16.8,5,8482,18
大学卒,33,55,5,491,5,9265,18.9,5,9927,20.2
大学卒,定年,定年,5,460,-,-,-,4,x,x
