表側,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年
区部(千世帯),4454,4487,4710,4763,4831,4915,4997,5077,5157,5236
市町村部(千世帯),1870,1881,1924,1936,1953,1975,1997,2020,2041,2063
区部（2011年度比）(％),0,0.7,5.7,6.9,8.5,10.3,12.2,14,15.8,17.5
市町村部（2011年度比）(％),0,0.6,2.9,3.6,4.4,5.6,6.8,8,9.2,10.3
