,,取引がある          ,取引はないが、検討している              ,検討していない      ,把握していない      ,無回答            ,ｎ
,今回調査（全体）,11.8 ,8.8 ,63.6 ,6.4 ,9.4 ,2348
,前回調査,11.8 ,9.8 ,64.1 ,7.9 ,6.5 ,2263
業種別,情報・コンテンツ業,14.5 ,12.8 ,63.4 ,3.8 ,5.5 ,640 
業種別,専門サービス業,13.2 ,7.9 ,63.7 ,6.5 ,8.8 ,820 
業種別,技術サービス業,8.2 ,6.8 ,62.6 ,10.0 ,12.4 ,340 
業種別,事業サービス業,8.1 ,5.9 ,65.9 ,7.3 ,12.8 ,507 
特定10業種,ソフトウェア業,12.2 ,12.6 ,68.5 ,2.8 ,3.8 ,286 
特定10業種,インターネット附随サービス業,17.7 ,16.1 ,61.3 ,0.0 ,4.8 ,62 
特定10業種,映像情報制作・配給業,19.1 ,11.8 ,55.9 ,5.9 ,7.4 ,68 
特定10業種,出版業,25.5 ,12.7 ,52.7 ,5.5 ,3.6 ,55 
特定10業種,税理士事務所,6.4 ,3.2 ,70.6 ,9.6 ,10.1 ,218 
特定10業種,デザイン業,12.5 ,13.5 ,56.7 ,4.8 ,12.5 ,104 
特定10業種,経営コンサルタント業,13.4 ,14.5 ,63.1 ,3.9 ,5.0 ,179 
特定10業種,建築設計業,7.8 ,8.3 ,61.7 ,6.7 ,15.6 ,180 
特定10業種,自動車整備業,3.7 ,3.7 ,61.1 ,5.6 ,25.9 ,54 
特定10業種,建物サービス業,0.9 ,1.8 ,73.0 ,9.0 ,15.3 ,111 
従業者規模別,1～2人,10.2 ,10.0 ,63.0 ,5.9 ,10.9 ,971 
従業者規模別,3～5人,13.4 ,7.5 ,61.3 ,7.3 ,10.5 ,573 
従業者規模別,6～9人,8.8 ,7.2 ,70.4 ,6.0 ,7.6 ,250 
従業者規模別,10～29人,11.1 ,7.9 ,69.3 ,5.4 ,6.3 ,316 
従業者規模別,30人以上,19.0 ,9.5 ,55.7 ,9.0 ,6.7 ,210
年間売上高増減別（３年前）,大幅(10％以上)増加,18.4 ,11.1 ,61.5 ,3.8 ,5.1 ,234
年間売上高増減別（３年前）,やや(10％未満)増加,13.9 ,8.4 ,64.7 ,6.7 ,6.3 ,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,9.4 ,6.6 ,67.8 ,6.5 ,9.7 ,662
年間売上高増減別（３年前）,やや(10％未満)減少,9.1 ,8.1 ,64.3 ,6.8 ,11.7 ,308
年間売上高増減別（３年前）,大幅(10％以上)減少,12.5 ,8.7 ,61.6 ,6.8 ,10.4 ,795
売上高経常利益率別,黒字,12.0 ,8.2 ,65.6 ,6.2 ,7.9 ,1409
売上高経常利益率別,赤字,12.1 ,10.1 ,61.8 ,6.8 ,9.2 ,693
経常損益の変化別（３年前）,増益,14.7 ,10.7 ,61.8 ,5.5 ,7.2 ,469
経常損益の変化別（３年前）,横ばい,9.9 ,5.6 ,68.1 ,5.9 ,10.5 ,765
経常損益の変化別（３年前）,減益,12.1 ,9.0 ,62.7 ,7.2 ,8.9 ,973
他企業との競争状況別（３年前）,かなり激化した,13.2 ,12.2 ,57.7 ,7.4 ,9.5 ,189
他企業との競争状況別（３年前）,やや激化した,13.9 ,11.8 ,62.7 ,4.5 ,7.1 ,466
他企業との競争状況別（３年前）,変わらない,10.9 ,7.1 ,65.9 ,6.6 ,9.4 ,1571
他企業との競争状況別（３年前）,やや緩和した,25.0 ,12.5 ,54.2 ,4.2 ,4.2 ,24
他企業との競争状況別（３年前）,かなり緩和した,14.3 ,28.6 ,28.6 ,0.0 ,28.6 ,7
