表側１,表側２,表側３,回答企業数(件),中国(％),台湾(％),韓国(％),アメリカ(％),イギリス(％),フランス(％),ドイツ(％),ベトナム(％),タイ(％),インド(％),その他(％)
,,今回調査（全体）,142,40.1,2.8,4.9,9.2,1.4,3.5,4.9,1.4,1.4,3.5,15.5
業種別,,食料品卸売業,28,21.4,7.1,0,7.1,3.6,10.7,0,0,0,3.6,35.7
業種別,,生鮮食品卸売業,5,40,0,0,20,0,0,0,0,0,20,20
業種別,,加工食品等卸売業,23,17.4,8.7,0,4.3,4.3,13,0,0,0,0,39.1
業種別,,衣料品関連卸売業,49,59.2,0,10.2,0,0,2,2,4.1,4.1,2,8.2
業種別,,住関連卸売業,14,42.9,7.1,0,7.1,7.1,0,7.1,0,0,0,0
業種別,,その他卸売業,49,30.6,2,4.1,20.4,0,2,8.2,0,0,6.1,16.3
従業者規模別,,1～5人,66,37.9,0,6.1,10.6,0,3,6.1,0,3,3,18.2
従業者規模別,,6～9人,30,53.3,3.3,3.3,6.7,3.3,6.7,3.3,0,0,3.3,3.3
従業者規模別,,10～49人,42,35.7,7.1,4.8,7.1,2.4,2.4,4.8,4.8,0,4.8,16.7
従業者規模別,,50人以上,3,0,0,0,33.3,0,0,0,0,0,0,66.7
