表側,構成比
各種商品小売業(%),4.8
織物・衣服・身の回り品小売業(%),9.9
飲食料品小売業(%),43.9
機械器具小売業(%),8.0
その他の小売業(%),24.4
無店舗小売業(%),9.0
従業者数(人),730872
