規模,職種,高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
規模別　[１０～４９人]　計,職種計,199926,209729,210901,221163
規模別　[１０～４９人]　計,営業販売系,196554,205704,207086,219070
規模別　[１０～４９人]　計,事務系,194416,204845,205464,218150
規模別　[１０～４９人]　計,技術系,200236,211807,211761,223823
規模別　[１０～４９人]　計,生産系,196258,207331,208359,217560
規模別　[５０～９９人]　計,職種計,197373,208137,209084,221830
規模別　[５０～９９人]　計,営業販売系,193343,203927,203476,219172
規模別　[５０～９９人]　計,事務系,190783,200843,202800,219911
規模別　[５０～９９人]　計,技術系,191810,202200,202827,218536
規模別　[５０～９９人]　計,生産系,186193,199592,199392,210829
規模別　[１００～２９９人]　計,職種計,192991,204734,206587,225969
規模別　[１００～２９９人]　計,営業販売系,185634,198414,200926,223390
規模別　[１００～２９９人]　計,事務系,187461,199520,200406,219791
規模別　[１００～２９９人]　計,技術系,187825,201813,202620,220081
規模別　[１００～２９９人]　計,生産系,189173,199825,200325,216814
