学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,56,184,12,53,0.3,25,96,0.5
高校卒,3,21,50,197,52,177,0.9,54,285,1.4
高校卒,5,23,48,209,61,358,1.7,60,513,2.5
高校卒,10,28,49,240,59,993,4.1,58,1329,5.5
高校卒,15,33,48,269,58,1952,7.3,57,2502,9.3
高校卒,20,38,48,298,60,3276,11,59,3928,13.2
高校卒,25,43,45,338,56,4987,14.8,54,5827,17.2
高校卒,30,48,46,362,57,6835,18.9,55,7792,21.5
高校卒,35,53,46,389,57,8611,22.1,55,9757,25.1
高校卒,37,55,44,396,54,9650,24.4,52,11344,28.6
高校卒,定年,定年,45,415,-,-,-,55,12778,30.8
高専・短大卒,1,21,51,198,13,71,0.4,24,113,0.6
高専・短大卒,3,23,45,210,54,199,0.9,52,323,1.5
高専・短大卒,5,25,43,225,59,396,1.8,56,584,2.6
高専・短大卒,10,30,41,254,57,1126,4.4,54,1523,6
高専・短大卒,15,35,45,291,60,2200,7.6,57,2830,9.7
高専・短大卒,20,40,41,325,57,3702,11.4,54,4438,13.7
高専・短大卒,25,45,41,362,57,5448,15,53,6463,17.9
高専・短大卒,30,50,42,398,58,7350,18.5,54,8485,21.3
高専・短大卒,35,55,41,416,57,8990,21.6,53,10450,25.1
高専・短大卒,定年,定年,44,428,-,-,-,51,12348,28.9
大学卒,1,23,80,217,19,94,0.4,36,143,0.7
大学卒,3,25,75,231,80,234,1,77,375,1.6
大学卒,5,27,73,249,89,464,1.9,83,681,2.7
大学卒,10,32,71,285,88,1243,4.4,83,1708,6
大学卒,15,37,72,319,87,2480,7.8,82,3165,9.9
大学卒,20,42,70,370,88,4084,11,83,4944,13.4
大学卒,25,47,67,404,84,6137,15.2,78,7281,18
大学卒,30,52,68,442,85,8089,18.3,79,9416,21.3
大学卒,33,55,68,456,84,9692,21.3,77,11052,24.2
大学卒,定年,定年,64,460,-,-,-,77,13192,28.7
