表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,725,2.1,9.1,41.7,25.4,20.6,1.2
業種別,,食料品卸売業,222,2.7,13.1,38.3,26.1,19.4,0.5
業種別,,生鮮食品卸売業,116,2.6,11.2,38.8,25,21.6,0.9
業種別,,加工食品等卸売業,106,2.8,15.1,37.7,27.4,17,0
業種別,,衣料品関連卸売業,140,0.7,5.7,32.1,31.4,29.3,0.7
業種別,,住関連卸売業,80,2.5,7.5,41.3,28.8,18.8,1.3
業種別,,その他卸売業,276,2.2,8.3,49.3,20.7,17.4,2.2
従業者規模別,,1～5人,376,1.1,5.6,32.2,30.9,28.5,1.9
従業者規模別,,6～9人,99,5.1,12.1,45.5,19.2,17.2,1
従業者規模別,,10～49人,204,2.9,11.8,54.9,19.6,10.3,0.5
従業者規模別,,50人以上,35,0,22.9,57.1,17.1,2.9,0
取引形態別,一次卸,小売直取引卸,212,1.9,8.5,42.9,26.9,18.4,1.4
取引形態別,一次卸,他部門直取引卸,47,4.3,12.8,55.3,17,10.6,0
取引形態別,一次卸,元卸,148,2.7,10.8,48,23,14.2,1.4
取引形態別,二次卸,中間卸,80,2.5,7.5,36.3,20,31.3,2.5
取引形態別,二次卸,最終卸,128,1.6,9.4,33.6,28.1,27.3,0
取引形態別,その他,製造問屋,19,5.3,5.3,36.8,36.8,15.8,0
取引形態別,その他,その他卸,71,0,8.5,40.8,23.9,25.4,1.4
売上高増減別(前年同期比),,増加,54,13,27.8,35.2,18.5,5.6,0
売上高増減別(前年同期比),,横ばい,102,0,5.9,71.6,15.7,5.9,1
売上高増減別(前年同期比),,減少,558,1.4,7.7,36.9,28,24.9,1.1
売上高増減別(３年前),,増加,136,8.8,25.7,47.8,14,2.9,0.7
売上高増減別(３年前),,横ばい,130,0,8.5,65.4,20,6.2,0
売上高増減別(３年前),,減少,443,0.5,3.6,33.2,30.2,30.7,1.8
