表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(％),やや増加（10％未満）(％),ほぼ横ばい（±５％未満）(％),やや減少（10％未満）(％),大幅減少（10％以上）(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",767,2.2,11.0,64.7,13.3,5.1,0.0,3.8
業種別,,食料品卸売業,213,2.8,13.1,66.2,11.3,3.8,0.0,2.8
業種別,,生鮮食品卸売業,91,1.1,13.2,59.3,16.5,5.5,0.0,4.4
業種別,,加工食品等卸売業,122,4.1,13.1,71.3,7.4,2.5,0.0,1.6
業種別,,衣料品関連卸売業,111,2.7,9.9,53.2,17.1,10.8,0.0,6.3
業種別,,住関連卸売業,155,1.3,13.5,63.2,12.3,3.9,0.0,5.8
業種別,,その他卸売業,270,2.2,8.1,68.9,14.1,4.4,0.0,2.2
従業者規模別,,１～５人,406,1.5,6.9,63.5,15.8,7.4,0.0,4.9
従業者規模別,,６～９人,119,3.4,12.6,60.5,17.6,1.7,0.0,4.2
従業者規模別,,10～49人,192,2.6,18.8,67.7,7.8,1.6,0.0,1.6
従業者規模別,,50人以上,28,3.6,14.3,67.9,3.6,10.7,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,3.1,11.4,61.1,13.5,6.6,0.0,4.4
取引形態別,一次卸,他部門直取引卸,67,1.5,16.4,65.7,11.9,1.5,0.0,3.0
取引形態別,一次卸,元卸,127,1.6,9.4,72.4,8.7,3.9,0.0,3.9
取引形態別,二次卸,中間卸,93,2.2,10.8,65.6,15.1,4.3,0.0,2.2
取引形態別,二次卸,最終卸,131,1.5,12.2,67.2,13.7,3.1,0.0,2.3
取引形態別,その他,製造問屋,20,10.0,5.0,60.0,20.0,5.0,0.0,0.0
取引形態別,その他,その他卸,65,1.5,7.7,55.4,15.4,12.3,0.0,7.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,12.5,15.8,58.3,5.8,2.5,0.0,5.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,0.0,28.7,56.5,7.4,2.8,0.0,4.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,0.6,11.7,79.2,4.5,0.6,0.0,3.2
年間売上高増減別（3年前）,,やや減少（10％未満）,124,0.0,4.8,71.0,20.2,1.6,0.0,2.4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,0.4,3.4,57.1,22.7,12.4,0.0,3.9
売上高経常利益率別,,黒字（プラス）,462,3.0,13.9,64.3,11.0,3.2,0.0,4.5
売上高経常利益率別,,赤字（マイナス）,271,1.1,5.9,63.8,17.7,8.5,0.0,3.0
経常損益の変化別（3年前）,,増益,197,6.6,16.2,62.9,7.6,2.0,0.0,4.6
経常損益の変化別（3年前）,,横ばい,240,0.8,9.6,68.3,12.9,4.6,0.0,3.8
経常損益の変化別（3年前）,,減益,305,0.7,8.9,62.0,17.4,7.5,0.0,3.6
