,（出向・派遣従業者のみ）,1～4人,5～9人,10～19人,20～29人,30人以上
情報通信業,1,42.8,16.5,13.5,6.5,19.8
不動産業・物品賃貸業,1.6,78.1,12.6,4.2,1.2,2.3
学術研究，専門・技術サービス業,0.7,65.6,16.8,8.3,2.8,5.8
サービス業（他に分類されないもの）,2.3,50,17,11.6,5.1,14
