表側１,表側２,表側３,回答企業数(件),業務プロセスの見直し(％),業務分担の見直し（平準化等）(％),業務の標準化・マニュアルの作成(％),人材のマルチスキル化・兼任化(％),ICTの利活用(％),整理・整頓他（5S）(％),非効率な商慣行の見直し(％),その他(％),無回答(％)
,,今回調査（全体）,112,38.4,39.3,25,33.9,33.9,25.9,31.3,1.8,1.8
業種別,,食料品卸売業,35,28.6,48.6,28.6,31.4,22.9,17.1,34.3,0,0
業種別,,生鮮食品卸売業,15,40,66.7,13.3,26.7,13.3,13.3,33.3,0,0
業種別,,加工食品等卸売業,20,20,35,40,35,30,20,35,0,0
業種別,,衣料品関連卸売業,24,45.8,33.3,12.5,12.5,29.2,41.7,37.5,4.2,4.2
業種別,,住関連卸売業,16,37.5,43.8,25,50,37.5,25,37.5,6.3,6.3
業種別,,その他卸売業,36,44.4,30.6,30.6,44.4,44.4,25,22.2,0,0
従業者規模別,,1～5人,37,24.3,18.9,24.3,21.6,18.9,27,43.2,2.7,2.7
従業者規模別,,6～9人,20,40,45,15,20,35,30,40,0,5
従業者規模別,,10～49人,40,47.5,50,32.5,47.5,37.5,25,25,2.5,0
従業者規模別,,50人以上,12,50,66.7,25,41.7,50,16.7,0,0,0
取引形態別,一次卸,小売直取引卸,32,37.5,25,21.9,37.5,37.5,31.3,28.1,3.1,6.3
取引形態別,一次卸,他部門直取引卸,10,40,50,60,60,70,30,40,0,0
取引形態別,一次卸,元卸,30,40,50,20,26.7,23.3,30,26.7,3.3,0
取引形態別,二次卸,中間卸,8,37.5,75,12.5,12.5,12.5,0,37.5,0,0
取引形態別,二次卸,最終卸,21,42.9,33.3,28.6,38.1,33.3,23.8,33.3,0,0
取引形態別,その他,製造問屋,3,66.7,0,33.3,66.7,66.7,33.3,33.3,0,0
取引形態別,その他,その他卸,5,20,40,0,0,20,20,60,0,0
売上高増減別(前年同期比),,増加,8,37.5,12.5,25,50,25,25,0,0,0
売上高増減別(前年同期比),,横ばい,16,50,43.8,25,37.5,37.5,37.5,50,0,0
売上高増減別(前年同期比),,減少,84,36.9,39.3,25,31,34.5,23.8,29.8,2.4,2.4
売上高増減別(３年前),,増加,21,47.6,61.9,33.3,52.4,42.9,28.6,19,4.8,0
売上高増減別(３年前),,横ばい,16,50,25,12.5,43.8,25,18.8,25,0,0
売上高増減別(３年前),,減少,68,32.4,38.2,27.9,27.9,32.4,23.5,35.3,1.5,2.9
経常損益の変化別(前年同期比),,増益,12,41.7,25,25,50,33.3,25,8.3,0,0
経常損益の変化別(前年同期比),,横ばい,21,38.1,38.1,23.8,23.8,28.6,33.3,52.4,0,0
経常損益の変化別(前年同期比),,減益,75,38.7,40,25.3,33.3,36,24,28,2.7,2.7
経常損益の変化別(３年前),,増益,22,31.8,54.5,22.7,31.8,31.8,31.8,13.6,0,0
経常損益の変化別(３年前),,横ばい,32,50,46.9,31.3,40.6,28.1,15.6,37.5,0,0
経常損益の変化別(３年前),,減益,52,32.7,30.8,25,32.7,38.5,25,32.7,3.8,3.8
