区分,集計企業数（社）,平均所定外実労働時間（時間:分）,なし（社）,５時間未満（社）,５時間以上１０時間未満（社）,１０時間以上１５時間未満（社）,１５時間以上２０時間未満（社）,２０時間以上２５時間未満（社）,２５時間以上３０時間未満（社）,３０時間以上３５時間未満（社）,３５時間以上４０時間未満（社）,４０時間以上（社）,無回答（社）
調査産業計,876,8:28,282,137,96,71,42,26,13,12,4,20,173
労組有,63,9:23,14,12,11,6,0,1,0,2,2,1,14
労組無,813,8:24,268,125,85,65,42,25,13,10,2,19,159
建設業,71,8:54,23,15,7,7,2,1,2,1,0,3,10
製造業,207,8:25,71,41,28,14,11,5,3,4,0,5,25
情報通信業,58,13:44,4,9,9,6,9,3,3,1,0,1,13
運輸業，郵便業,42,6:03,17,4,3,2,0,2,0,0,1,1,12
卸売業，小売業,180,6:06,69,25,23,12,3,4,0,1,0,3,40
金融業，保険業,27,10:29,2,5,1,4,4,3,0,0,0,0,8
不動産業，物品賃貸業,16,11:09,4,2,0,3,2,1,1,1,0,0,2
学術研究，専門・技術サービス業,57,11:23,14,3,5,7,2,3,2,1,1,2,17
宿泊業，飲食サービス業,43,6:41,12,3,4,3,0,2,1,0,0,1,17
生活関連サービス業，娯楽業,34,5:26,8,6,5,3,3,0,0,0,0,0,9
教育，学習支援業（学校教育を除く）,30,14:25,12,3,3,2,3,0,1,1,2,1,2
医療，福祉,57,10:17,25,10,6,4,1,1,0,2,0,2,6
サービス業（他に分類されないもの）,54,4:14,21,11,2,4,2,1,0,0,0,1,12
10～49人,585,6:47,219,88,57,41,23,14,8,7,2,9,117
50～99人,188,12:47,43,29,21,21,13,6,2,2,2,9,40
100～299人,103,10:14,20,20,18,9,6,6,3,3,0,2,16
