表側１,表側２,表側３,回答企業数(件),系列関係はない(％),メーカー系列（代理店・特約店等）(％),卸売業の系列(％),その他(％),無回答(％)
,,"今回調査
（全体）",767,61.0,13.3,20.6,1.3,3.8
,,前回調査,760,58.8,11.6,24.7,1.6,3.3
業種別,,食料品卸売業,213,65.3,4.7,26.3,0.9,2.8
業種別,,生鮮食品卸売業,91,61.5,0.0,31.9,2.2,4.4
業種別,,加工食品等卸売業,122,68.0,8.2,22.1,0.0,1.6
業種別,,衣料品関連卸売業,111,72.1,10.8,15.3,0.9,0.9
業種別,,住関連卸売業,155,54.8,23.9,20.0,0.0,1.3
業種別,,その他卸売業,270,60.7,15.9,20.0,2.6,0.7
取引形態別,一次卸,小売直取引卸,229,67.2,14.8,14.8,1.3,1.7
取引形態別,一次卸,他部門直取引卸,67,70.1,16.4,11.9,1.5,0.0
取引形態別,一次卸,元卸,127,63.8,12.6,22.8,0.8,0.0
取引形態別,二次卸,中間卸,93,40.9,10.8,46.2,0.0,2.2
取引形態別,二次卸,最終卸,131,66.4,8.4,23.7,0.8,0.8
取引形態別,その他,製造問屋,20,60.0,20.0,20.0,0.0,0.0
取引形態別,その他,その他卸,65,61.5,18.5,12.3,4.6,3.1
