表側１,表側２,表側３,回答企業数(件),増大(％),変わらない(％),減少(％),無回答(％)
,,今回調査（全体）,584,49.3,33.6,14.2,2.9
業種別,,総合商品小売業,53,56.6,32.1,11.3,0
業種別,,生鮮食品小売業,33,30.3,27.3,36.4,6.1
業種別,,食料品関連小売業,151,43.7,38.4,14.6,3.3
業種別,,衣料品関連小売業,84,53.6,28.6,15.5,2.4
業種別,,住関連小売業,60,43.3,30,16.7,10
業種別,,その他小売業,202,54.5,34.7,9.9,1
従業者規模別,,1～2人,276,44.9,31.5,20.3,3.3
従業者規模別,,3～5人,150,52,36,8,4
従業者規模別,,6～19人,101,53.5,37.6,7.9,1
従業者規模別,,20人以上,51,60.8,31.4,7.8,0
