表側１,表側２,表側３,回答企業数(件),１～５人(％),６～９人(％),10～49人(％),50人以上(％),無回答(％)
,,"今回調査
（全体）",767,52.9,15.5,25.0,3.7,2.9
,,前回調査,760,52.5,13.3,27.4,4.7,2.1
業種別,,食料品卸売業,213,48.8,16.9,27.7,3.3,3.3
業種別,,生鮮食品卸売業,91,42.9,19.8,29.7,3.3,4.4
業種別,,加工食品等卸売業,122,53.3,14.8,26.2,3.3,2.5
業種別,,衣料品関連卸売業,111,56.8,12.6,23.4,4.5,2.7
業種別,,住関連卸売業,155,50.3,19.4,23.9,3.9,2.6
業種別,,その他卸売業,270,54.8,14.1,24.8,3.7,2.6
取引形態別,一次卸,小売直取引卸,229,51.5,14.8,24.9,3.9,4.8
取引形態別,一次卸,他部門直取引卸,67,55.2,13.4,25.4,6.0,0.0
取引形態別,一次卸,元卸,127,39.4,20.5,35.4,3.9,0.8
取引形態別,二次卸,中間卸,93,63.4,7.5,21.5,3.2,4.3
取引形態別,二次卸,最終卸,131,51.1,19.8,26.0,1.5,1.5
取引形態別,その他,製造問屋,20,65.0,15.0,20.0,0.0,0.0
取引形態別,その他,その他卸,65,58.5,15.4,13.8,7.7,4.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
