日付,スポット名,緯度,経度,クリック数
2022/09/08,平和祈念展示資料館,35.69140876,139.6925998,21
2022/09/08,皆中稲荷神社,35.70103677,139.699434,19
2022/09/08,SOMPO美術館,35.69251103,139.6965426,18
2022/09/08,成子天神社,35.69616627,139.6923852,14
2022/09/08,金沢浴場,35.7000653,139.7103077,13
2022/09/08,内村鑑三終焉の地（今井館聖書講堂跡）,35.7018601,139.6915269,11
2022/09/08,花園神社,35.69353487,139.7053349,11
2022/09/08,永福寺,35.69811799,139.7125018,10
2022/09/08,薬王院,35.71814647,139.6972239,10
2022/09/08,西條八十旧居跡,35.6983968,139.6941394,10
2022/09/08,高麗博物館,35.69847522,139.7036719,10
2022/09/08,松の湯,35.71083348,139.6839416,9
2022/09/08,洋菓子店シュマーレ,35.7193137,139.6739799,9
2022/09/08,稲荷鬼王神社,35.69775205,139.7053134,9
2022/09/08,第三玉乃湯,35.70285332,139.7384763,9
2022/09/08,ゆ〜ザ中井,35.71609071,139.689011,8
2022/09/08,万年湯,35.70084944,139.7035056,8
2022/09/08,夏目漱石終焉の地,35.70383346,139.7252691,8
2022/09/08,文学座アトリエ,35.68351816,139.7191429,8
2022/09/08,氷おばけ,35.69528624,139.7003299,8
2022/09/08,泉鏡花旧居跡,35.70202128,139.7297591,8
2022/09/08,聖徳記念絵画館,35.67873811,139.717657,8
2022/09/08,世界湯,35.71467517,139.6996003,7
2022/09/08,小泉八雲終焉の地,35.69911561,139.7052866,7
2022/09/08,新宿末廣亭,35.69123885,139.7059679,7
2022/09/08,松井須磨子の墓,35.70304499,139.7271574,7
2022/09/08,柏湯,35.70671282,139.6933293,7
2022/09/08,消防博物館,35.68816722,139.7199476,7
2022/09/08,追分だんご本舗,35.69039797,139.7053993,7
2022/09/08,馬水槽,35.6921712,139.701156,7
2022/09/08,スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,35.69169196,139.7022557,6
2022/09/08,三の輪湯,35.7137213,139.682005,6
2022/09/08,佐藤美術館,35.68149201,139.7148514,6
2022/09/08,地蔵坂,35.70128507,139.7387123,6
2022/09/08,太宗寺,35.68985772,139.7093475,6
2022/09/08,市谷亀岡八幡宮,35.69269837,139.7337663,6
2022/09/08,志賀直哉旧宅跡,35.71038919,139.7036612,6
2022/09/08,新宿区立漱石山房記念館,35.70392058,139.7255373,6
2022/09/08,新宿御苑,35.68895148,139.7065312,6
2022/09/08,栄湯,35.72057237,139.6782339,6
2022/09/08,熱海湯,35.70055757,139.7405523,6
2022/09/08,田村虎蔵旧居跡,35.7041471,139.7400105,6
2022/09/08,矢来能楽堂,35.70287075,139.7325808,6
2022/09/08,美術愛住館,35.68833279,139.7187352,6
2022/09/08,草間彌生美術館,35.70335428,139.7265244,6
