日本標準産業分類/大分類,日本標準産業分類/中分類,日本標準産業分類/小分類・細分類,"母集団
割合（％）","本報告書
での分類","回答割合
（％）"
"Ⅰ卸売業，
小売業",56　各種商品小売業,569　その他の各種商品小売業,―,総合商品小売業,8.8
"Ⅰ卸売業，
小売業",58　飲食料品小売業,5891　コンビニエンスストア,,,
"Ⅰ卸売業，
小売業",58　飲食料品小売業,582　野菜・果実小売業,5.9,生鮮食品小売業,6.3
"Ⅰ卸売業，
小売業",58　飲食料品小売業,583　食肉小売業,,,
"Ⅰ卸売業，
小売業",58　飲食料品小売業,584　鮮魚小売業,,,
"Ⅰ卸売業，
小売業",58　飲食料品小売業,581　各種食料品小売業,―,"食料品
関連
小売業",25.0
"Ⅰ卸売業，
小売業",58　飲食料品小売業,585　酒小売業,,,
"Ⅰ卸売業，
小売業",58　飲食料品小売業,586　菓子・パン小売業,,,
"Ⅰ卸売業，
小売業",58　飲食料品小売業,589　その他の飲食料品小売業（コンビニエンスストアを除く）,,,
"Ⅰ卸売業，
小売業",57　織物・衣服・身の回り品小売業,571　呉服・服地・寝具小売業,14.6,"衣料品
関連
小売業",13.9
"Ⅰ卸売業，
小売業",57　織物・衣服・身の回り品小売業,572　男子服小売業,,,
"Ⅰ卸売業，
小売業",57　織物・衣服・身の回り品小売業,573　婦人・子供服小売業,,,
"Ⅰ卸売業，
小売業",57　織物・衣服・身の回り品小売業,574　靴・履物小売業,,,
"Ⅰ卸売業，
小売業",57　織物・衣服・身の回り品小売業,579　その他の織物・衣服・身の回り品小売業,,,
"Ⅰ卸売業，
小売業",59　機械器具小売業,593　機械器具小売業（自動車，自転車を除く）,10.7,"住関連
小売業",7.8
"Ⅰ卸売業，
小売業",60　その他の小売業,601　家具・建具・畳小売業,,,
"Ⅰ卸売業，
小売業",60　その他の小売業,602　じゅう器小売業,,,
"Ⅰ卸売業，
小売業",60　その他の小売業,603　医薬品・化粧品小売業,37.5,"その他
小売業",36.1
"Ⅰ卸売業，
小売業",60　その他の小売業,606　書籍・文房具小売業,,,
"Ⅰ卸売業，
小売業",60　その他の小売業,607　スポーツ用品・がん具・娯楽用品・楽器小売業,,,
"Ⅰ卸売業，
小売業",60　その他の小売業,608　写真機・時計・眼鏡小売業,,,
"Ⅰ卸売業，
小売業",60　その他の小売業,609　他に分類されない小売業,,,
"Ⅰ卸売業，
小売業",59　機械器具小売業,592　自転車小売業,,,
,,,,無回答,2.1
,,計,100.0,計,100.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
