企業規模,４系列職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
１０～４９人,合計,18,0,322,199926,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,合計,20,0,102,210489,105.3,0,304,209729,100,0,320,210901,100,-,-,-,-
１０～４９人,合計,22,0,94,220464,110.3,0,84,217882,103.9,0,93,221694,105.1,0,367,221163,100
１０～４９人,合計,25,0,91,233671,116.9,0,80,234685,111.9,0,84,239214,113.4,0,115,244685,110.6
１０～４９人,合計,30,2,91,264671,132.4,2,82,263049,125.4,2,84,268233,127.2,2,112,275406,124.5
１０～４９人,合計,35,3,88,291769,145.9,3,77,289814,138.2,3,77,291462,138.2,3,99,305916,138.3
１０～４９人,合計,40,3,87,314210,157.2,3,75,316597,151,3,76,320051,151.8,3,100,341689,154.5
１０～４９人,合計,45,3,85,336841,168.5,3,74,338615,161.5,3,76,340617,161.5,3,93,366719,165.8
１０～４９人,合計,50,3,81,360593,180.4,3,69,363643,173.4,3,70,365244,173.2,3,93,405688,183.4
１０～４９人,合計,55,2,78,370965,185.6,2,68,376524,179.5,2,69,384871,182.5,2,87,418508,189.2
１０～４９人,合計,60,1,78,369154,184.6,1,68,378843,180.6,1,68,385894,183,1,86,420965,190.3
１０～４９人,営業販売系,18,0,115,196554,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,営業販売系,20,0,43,201581,102.6,0,106,205704,100,0,111,207086,100,-,-,-,-
１０～４９人,営業販売系,22,0,38,212763,108.2,0,34,211256,102.7,0,34,213715,103.2,0,134,219070,100
１０～４９人,営業販売系,25,0,38,228079,116,0,32,227319,110.5,0,33,229194,110.7,0,46,241878,110.4
１０～４９人,営業販売系,30,2,40,260220,132.4,2,33,252882,122.9,2,33,255012,123.1,2,47,273294,124.8
１０～４９人,営業販売系,35,3,37,286189,145.6,3,32,284156,138.1,3,31,288381,139.3,3,41,312156,142.5
１０～４９人,営業販売系,40,3,37,311259,158.4,3,32,314597,152.9,3,31,316977,153.1,3,46,354065,161.6
１０～４９人,営業販売系,45,3,37,330905,168.4,3,32,337347,164,3,32,344550,166.4,3,41,376151,171.7
１０～４９人,営業販売系,50,3,34,356074,181.2,3,29,369334,179.5,3,29,377614,182.3,3,42,421436,192.4
１０～４９人,営業販売系,55,2,33,375185,190.9,2,29,388355,188.8,2,28,400904,193.6,2,39,438587,200.2
１０～４９人,営業販売系,60,1,34,370785,188.6,1,29,386131,187.7,1,28,403493,194.8,1,39,442346,201.9
