,男,女,不詳
情報通信業,71.6,27.5,0.9
不動産業・物品賃貸業,58.5,41.2,0.3
学術研究，専門・技術サービス業,65.3,34,0.6
サービス業（他に分類されないもの）,59.1,40.5,0.4
