表側１,表側２,表側３,回答企業数(件),適切な候補者の不在(%),後継者の教育・成長(%),業績不振(%),株式の分散問題(%),後継者の株式の取得資金(%),相続税・贈与税の問題(%),借入金の返済(%),個人保証の問題(%),事業承継の企業内体制が未整備(%),相談相手の不在(%),業界の将来性への不安(%),事業の引継先（Ｍ＆Ａ）が見つからない(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",1615,25.7,17.2,24.6,1.5,1.9,6.1,12.1,2.4,4.5,3.0,24.8,1.2,1.2,25.9,6.3
,,前回調査,1554,26.1,18.4,33.1,1.0,1.9,6.9,12.0,2.6,3.8,2.5,22.7,1.7,2.0,18.6,5.7
業種別,,総合商品小売業,168,36.9,40.5,7.7,1.2,1.8,4.2,9.5,0.6,6.5,1.8,17.9,1.8,3.0,20.2,4.8
業種別,,生鮮食品小売業,99,26.3,14.1,18.2,2.0,1.0,4.0,9.1,2.0,1.0,3.0,21.2,1.0,1.0,28.3,8.1
業種別,,食料品関連小売業,385,26.5,11.4,27.3,1.8,1.6,9.4,15.1,2.9,4.2,3.9,24.2,0.5,1.6,26.0,5.5
業種別,,衣料品関連小売業,209,19.1,11.0,31.1,0.0,2.4,4.3,13.9,1.9,2.9,3.3,25.4,1.4,1.9,28.2,6.7
業種別,,住関連小売業,118,32.2,11.9,35.6,0.0,3.4,5.1,11.9,2.5,2.5,1.7,20.3,1.7,0.0,26.3,7.6
業種別,,その他小売業,605,23.1,18.0,25.0,2.1,2.0,5.8,11.2,2.6,5.5,3.0,28.6,1.5,0.5,26.4,6.0
従業者規模別,,１～２人,698,25.8,6.2,28.2,0.0,0.3,2.9,8.9,1.6,1.9,2.9,23.6,0.9,1.4,31.9,7.4
従業者規模別,,３～５人,402,22.9,18.4,24.9,1.2,1.2,8.5,13.2,2.5,4.5,3.2,28.1,1.0,0.5,22.6,6.2
従業者規模別,,６～19人,304,28.3,27.6,23.4,3.6,3.3,7.6,17.8,3.3,8.9,3.0,27.3,2.3,1.3,19.1,4.3
従業者規模別,,20人以上,161,32.3,41.6,9.9,4.3,7.5,11.8,14.3,3.1,8.1,3.7,18.6,1.2,1.9,21.7,3.7
年間売上高増減別（3年前）,,増加（５％以上）,205,22.9,27.3,8.8,1.5,2.4,4.9,15.1,2.4,6.3,2.0,15.6,0.5,2.4,28.8,5.4
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,433,32.3,20.3,12.9,1.4,1.4,6.2,9.9,1.8,5.3,3.7,24.7,0.9,0.7,26.3,6.0
年間売上高増減別（3年前）,,やや減少（10％未満）,341,24.6,17.3,22.6,1.8,1.8,7.0,10.3,2.1,4.4,2.3,21.7,0.3,1.8,29.3,5.9
年間売上高増減別（3年前）,,減少（20％未満）,305,23.6,13.1,35.7,2.3,1.6,7.9,14.4,2.3,3.0,2.6,30.8,2.0,0.7,24.3,5.9
年間売上高増減別（3年前）,,大幅減少（20％以上）,277,21.7,9.4,46.2,0.7,2.5,5.1,14.4,4.0,2.9,3.2,30.3,2.2,0.7,19.1,8.3
売上高経常利益率別,,黒字（プラス）,870,26.3,20.6,17.9,1.3,2.0,5.7,9.9,2.4,5.2,2.5,24.8,0.9,1.5,28.2,4.4
売上高経常利益率別,,赤字（マイナス）,594,25.9,12.5,35.2,2.2,2.4,7.6,16.7,2.5,4.2,3.4,27.8,1.5,0.8,21.9,7.7
経常損益の変化別（3年前）,,増益,261,27.6,21.5,16.9,2.3,2.3,7.3,16.5,3.4,6.1,3.4,28.0,1.1,1.5,23.0,6.1
経常損益の変化別（3年前）,,横ばい,549,26.2,16.9,19.7,1.3,1.3,4.9,9.8,1.1,4.4,2.2,21.7,0.5,1.5,28.4,6.4
経常損益の変化別（3年前）,,減益,714,25.2,16.1,31.9,1.5,2.5,7.3,12.9,2.9,4.2,3.4,27.6,1.7,0.8,23.7,5.7
