,男,女,不詳
情報通信業,71.6,27.4,0.9
"不動産業,物品賃貸業",61,38.6,0.4
学術研究，専門・技術サービス業,63.1,35.8,1.1
サービス業（他に分類されないもの）,57.5,42.1,0.4
