表側１,表側２,表側３,回答企業数(件),300m以内(％),300m超～500m以内(％),500m超～1km以内(％),1km超～3km以内(％),3km超(％),広域で限定できない(％),不明(％)
,,今回調査（全体）,2003,14.9,16.7,16.8,9.8,4.7,18.7,15
業種別,,総合商品小売業,164,36,37.8,16.5,2.4,0,1.2,4.9
業種別,,生鮮食品小売業,113,16.8,16.8,23,9.7,1.8,11.5,13.3
業種別,,食料品関連小売業,511,15.1,19.8,18.2,10,5.5,12.7,14.7
業種別,,衣料品関連小売業,314,10.5,11.5,17.8,12.1,5.1,24.2,15.3
業種別,,住関連小売業,162,4.9,14.8,12.3,14.2,6.8,31.5,12.3
業種別,,その他小売業,737,13.8,12.3,15.6,9.4,5.2,22.5,18.2
従業者規模別,,1～2人,1059,15.9,16.1,16.5,10.4,4.2,16.3,17.4
従業者規模別,,3～5人,488,8.6,14.5,17.4,8.2,7,26.2,12.9
従業者規模別,,6～19人,272,20.2,15.4,15.4,12.9,3.7,19.9,11
従業者規模別,,20人以上,134,19.4,29.9,21.6,6.7,3.7,9,9.7
店舗立地別,,商業地,647,14.2,14.1,18.5,11.6,4.3,20.1,14.5
店舗立地別,,大型ターミナル駅周辺,16,12.5,6.3,12.5,6.3,6.3,31.3,25
店舗立地別,,駅周辺（大型ターミナル駅を除く）,291,18.6,18.9,15.8,10.7,3.1,17.5,14.1
店舗立地別,,ロードサイド,131,9.2,17.6,14.5,10.7,10.7,19.8,14.5
店舗立地別,,住宅街,711,15,18.8,18.1,8.3,5.8,17.3,14.1
店舗立地別,,オフィス街,59,25.4,18.6,8.5,8.5,1.7,11.9,22
店舗立地別,,工業地・倉庫街,10,20,0,10,10,0,30,10
店舗立地別,,その他,44,6.8,15.9,9.1,6.8,0,27.3,29.5
所在地別,,都心,160,16.3,10.6,9.4,6.3,2.5,31.9,20
所在地別,,副都心,206,15,17.5,14.1,11.7,3.4,18.9,18.4
所在地別,,城東,475,16.8,17.3,17.1,8.4,2.5,20.2,14.3
所在地別,,城南,206,15.5,21.4,21.8,10.2,2.4,16.5,7.3
所在地別,,城西,354,13.8,18.6,19.5,8.2,5.1,15.3,15.3
所在地別,,城北,129,20.9,20.9,15.5,6.2,3.9,10.1,17.8
所在地別,,多摩,463,11.4,13,16.4,13.6,9.5,18.4,14.5
