表側１,表側２,表側３,回答企業数(件),黒字が拡大(％),赤字から黒字に転換(％),赤字だが損失額は縮小(％),黒字でほぼ横ばい(±5％未満)(％),赤字でほぼ横ばい(±5％未満)(％),黒字だが利益額は減少(％),黒字から赤字に転落(％),赤字が拡大(％),無回答(％)
,,今回調査（全体）,725,6.6,3.3,7.7,19.4,12.1,20.6,13.9,13.9,2.3
業種別,,食料品卸売業,222,8.6,3.6,6.8,19.8,8.6,22.5,14,14.9,1.4
業種別,,生鮮食品卸売業,116,6,1.7,8.6,19.8,6.9,23.3,16.4,15.5,1.7
業種別,,加工食品等卸売業,106,11.3,5.7,4.7,19.8,10.4,21.7,11.3,14.2,0.9
業種別,,衣料品関連卸売業,140,5,3.6,10,13.6,12.9,20.7,10.7,20,3.6
業種別,,住関連卸売業,80,3.8,2.5,8.8,25,15,13.8,18.8,10,2.5
業種別,,その他卸売業,276,6.9,2.9,6.5,20.7,13.8,21.4,13.8,11.6,2.5
従業者規模別,,1～5人,376,4,4,10.6,12.2,18.1,18.6,10.6,19.7,2.1
従業者規模別,,6～9人,99,12.1,5.1,7.1,24.2,7.1,17.2,12.1,12.1,3
従業者規模別,,10～49人,204,7.4,2,3.4,27.9,3.9,27.9,19.1,6.4,2
従業者規模別,,50人以上,35,14.3,0,2.9,34.3,2.9,14.3,28.6,2.9,0
取引形態別,一次卸,小売直取引卸,212,7.5,2.4,7.1,19.8,11.3,19.8,16,11.8,4.2
取引形態別,一次卸,他部門直取引卸,47,10.6,4.3,2.1,29.8,8.5,25.5,8.5,10.6,0
取引形態別,一次卸,元卸,148,10.1,7.4,6.1,23.6,8.1,18.9,13.5,11.5,0.7
取引形態別,二次卸,中間卸,80,1.3,1.3,12.5,16.3,15,17.5,13.8,20,2.5
取引形態別,二次卸,最終卸,128,5.5,2.3,9.4,15.6,10.9,24.2,13.3,18,0.8
取引形態別,その他,製造問屋,19,5.3,5.3,0,15.8,21.1,10.5,26.3,15.8,0
取引形態別,その他,その他卸,71,4.2,0,5.6,16.9,21.1,21.1,14.1,15.5,1.4
