スポット名,カテゴリ,緯度,経度,地域,クリック数
花園神社,寺社,139.7053349,35.69353487,東京,"1,198"
皆中稲荷神社,寺社,139.699434,35.70103677,東京,713
金沢浴場,銭湯,139.7103077,35.7000653,東京,651
新宿末廣亭,文化施設・博物館,139.7059679,35.69123885,東京,648
天ぷら新宿つな八 総本店,飲食,139.703511,35.69083366,東京,638
スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,飲食,139.7022557,35.69169196,東京,583
平和祈念展示資料館,文化施設・博物館,139.6925998,35.69140876,東京,574
稲荷鬼王神社,寺社,139.7053134,35.69775205,東京,565
追分だんご本舗,飲食,139.7053993,35.69039797,東京,510
馬水槽,史跡,139.701156,35.6921712,東京,501
SOMPO美術館,文化施設・博物館,139.6965426,35.69251103,東京,499
太宗寺,寺社,139.7093475,35.68985772,東京,471
小笠原伯爵邸,文化施設・博物館,139.7175229,35.69833581,東京,443
成子天神社,寺社,139.6923852,35.69616627,東京,439
東福院,寺社,139.7236276,35.68604969,東京,419
雷電稲荷神社,寺社,139.7047985,35.68958759,東京,418
新宿御苑,文化施設・博物館,139.7065312,35.68895148,東京,414
西念寺,寺社,139.7254407,35.68463797,東京,399
柳湯,銭湯,139.7265351,35.69899799,東京,397
文学座アトリエ,史跡,139.7191429,35.68351816,東京,394
弁天湯,銭湯,139.7148782,35.69540823,東京,390
氷おばけ,飲食,139.7003299,35.69528624,東京,389
夏目漱石終焉の地,史跡,139.7252691,35.70383346,東京,379
松井須磨子の墓,史跡,139.7271574,35.70304499,東京,377
松の湯,銭湯,139.6839416,35.71083348,東京,376
熱海湯,銭湯,139.7405523,35.70055757,東京,360
万年湯,銭湯,139.7035056,35.70084944,東京,358
福の湯,銭湯,139.6948797,35.72174828,東京,356
斎藤茂吉終焉の地,史跡,139.7161067,35.68676425,東京,355
三の輪湯,銭湯,139.682005,35.7137213,東京,354
世界湯,銭湯,139.6996003,35.71467517,東京,354
栄湯,銭湯,139.6782339,35.72057237,東京,353
金泉湯,銭湯,139.7123516,35.7099449,東京,353
大星湯,銭湯,139.7173727,35.69448462,東京,349
天ぷら船橋屋 新宿本店,飲食,139.7033072,35.69102536,東京,349
西向天神社,寺社,139.7112572,35.69627083,東京,333
第三玉乃湯,銭湯,139.7384763,35.70285332,東京,330
東宝湯,銭湯,139.7120619,35.69835324,東京,326
内村鑑三終焉の地（今井館聖書講堂跡）,史跡,139.6915269,35.7018601,東京,326
ゆ〜ザ中井,銭湯,139.689011,35.71609071,東京,325
矢来能楽堂,文化施設・博物館,139.7325808,35.70287075,東京,323
坪内逍遙旧居跡・文芸協会演劇研究所跡,史跡,139.7142184,35.69702451,東京,322
経王寺,寺社,139.7253656,35.69925066,東京,318
滝沢馬琴終焉の地,史跡,139.7194058,35.67984927,東京,318
鏑木清方旧居跡,史跡,139.7313094,35.70328023,東京,316
新宿歴史博物館,文化施設・博物館,139.7254086,35.68994921,東京,315
塩湯,銭湯,139.7273666,35.68736553,東京,313
新宿御苑 楽羽亭,飲食,139.7071427,35.68587105,東京,312
佐藤美術館,文化施設・博物館,139.7148514,35.68149201,東京,311
鶴巻湯,銭湯,139.7227532,35.70778003,東京,306
西條八十旧居跡,史跡,139.6941394,35.6983968,東京,304
禿坂,史跡,139.713757,35.69014963,東京,303
竹の湯,銭湯,139.7345924,35.70659956,東京,302
永福寺,寺社,139.7125018,35.69811799,東京,300
志賀直哉旧宅跡,史跡,139.7036612,35.71038919,東京,297
合羽坂,史跡,139.7244591,35.69280729,東京,295
新宿区立林芙美子記念館,文化施設・博物館,139.6841186,35.71576841,東京,294
草間彌生美術館,文化施設・博物館,139.7265244,35.70335428,東京,293
中村屋サロン美術館,文化施設・博物館,139.7021753,35.69177474,東京,292
消防博物館,文化施設・博物館,139.7199476,35.68816722,東京,286
夏目漱石誕生の地,史跡,139.7203177,35.70569787,東京,281
諏訪神社,寺社,139.7076738,35.70904324,東京,279
