表側１,表側２,表側３,回答企業数(件),地域住民のニーズに即した品揃え(%),高齢者の買い物支援(%),子ども・子育て世代を対象とした事業の実施(%),地域の小・中・高校との連携(%),地域の大学との連携(%),地域の高齢者施設・福祉施設との連携(%),祭・イベント(%),安心・安全に係る取組（防犯・防災活動等）(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",2141,26.6,18.1,7,8.9,2.9,7.5,31.2,18.4,1.7,32.4,5.2
業種別,,総合商品小売業,189,49.2,33.9,6.3,13.8,1.6,8.5,32.3,38.6,1.1,17.5,3.2
業種別,,生鮮食品小売業,134,34.3,35.8,11.9,16.4,3,6,34.3,16.4,0,23.9,4.5
業種別,,食料品関連小売業,535,26,20,9,8,2.8,4.1,40.2,17.6,1.7,27.9,4.7
業種別,,衣料品関連小売業,298,27.2,16.4,4.7,5.7,3,2.3,32.6,13.8,2,35.2,5.4
業種別,,住関連小売業,167,18,15.6,4.2,4.8,3,7.8,34.1,24.6,2.4,31.1,7.8
業種別,,その他小売業,773,21.6,11.4,6.5,9.1,3.4,11.9,23.7,15,1.9,39.3,5.4
従業者規模別,,１～２人,1066,21.3,16.7,5.3,6,1.3,3.6,27.3,14.3,2,39,5.8
従業者規模別,,３～５人,486,31.1,20,7.6,11.9,5.3,9.5,37.9,18.5,0.8,28.6,5.3
従業者規模別,,６～19人,336,33.3,17.3,8.6,11.9,3.6,12.8,34.8,22.6,1.8,24.1,4.2
従業者規模別,,20人以上,170,34.7,22.4,10.6,12.9,4.7,15.9,33.5,36.5,1.8,20.6,1.8
年間売上高増減別（3年前）,,増加（５％以上）,227,34.4,15,7.9,15,2.6,7.9,36.6,22.5,3.1,28.6,4.4
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,29.5,18.7,8.8,10.6,2.8,10.2,32.8,21.6,1.2,31.6,4.3
年間売上高増減別（3年前）,,やや減少（10％未満）,450,30.7,19.8,6.4,10,3.1,6.2,29.3,16.4,0.9,32.4,3.6
年間売上高増減別（3年前）,,減少（20％未満）,434,21.9,18.4,5.8,7.1,3.5,6.5,35,18.4,0.9,31.3,5.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,20,17.3,5.4,4.9,2.7,6.3,26.1,15.5,2.7,36.6,7.6
売上高経常利益率別,,黒字（プラス）,1093,30.4,18.1,703,9.1,2.5,8.6,32.1,20.7,2.1,30.6,3.7
売上高経常利益率別,,赤字（マイナス）,838,23.7,19.3,6.7,8.9,3.5,6.3,31.4,16.8,1.2,33.5,5.4
経常損益の変化別（3年前）,,増益,316,27.8,19.6,7.9,13.3,2.8,9.2,34.2,18.7,3.2,29.7,3.5
経常損益の変化別（3年前）,,横ばい,702,26.2,19.8,7.1,9.8,2.7,6.3,29.9,18.2,1.6,34.6,4.6
経常損益の変化別（3年前）,,減益,999,27.4,17,6.6,7.3,3.1,7.7,31.6,19,1.3,31.3,5.3
店舗立地環境別,,駅周辺,579,30.7,19.5,7.6,11.2,4.8,10.4,33.2,19.5,1,27.8,3.6
店舗立地環境別,,商業地（駅周辺を除く）,485,27.8,17.7,6.6,8,3.7,5.6,42.3,20.8,1,28.7,3.9
店舗立地環境別,,ロードサイド,128,28.9,19.5,7,7.8,0,5.5,25.8,18,2.3,35.2,6.3
店舗立地環境別,,住宅街,740,24.7,19.1,7.3,8.2,1.2,7.3,26.1,17,1.5,35.4,5.7
店舗立地環境別,,オフィス街,60,10,8.3,3.3,10,6.7,3.3,31.7,13.3,6.7,36.7,11.7
店舗立地環境別,,工業地・倉庫街,2,0,0,0,0,0,0,0,0,0,100,0
店舗立地環境別,,その他,59,16.9,6.8,3.4,3.4,1.7,6.8,18.6,11.9,10.2,47.5,6.8
商店街加盟の有無別,,商店街組織が形成されている,1122,30.6,21,8.1,11.4,4.3,8.5,42.9,22.6,1.3,22.5,4.5
商店街加盟の有無別,,加盟している,949,32.5,22.3,9.2,12.4,4.8,8.9,46.7,24.2,1.2,17.9,4.5
商店街加盟の有無別,,加盟していない,168,20.2,13.1,1.8,5.4,1.2,6,21.4,13.1,2.4,48.2,4.2
商店街加盟の有無別,,商店街組織は形成されていない,771,23.3,16.1,6.2,6.2,1.6,6.4,19.2,14.5,1.9,41.5,5.6
商店街加盟の有無別,,わからない,180,17.2,10.6,4.4,5.6,1.1,6.7,15,10.6,2.8,51.7,6.1
