学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,2,x,-,-,-,-,-,-
高校卒,3,21,4,x,6,182,0.9,6,252,1.2
高校卒,5,23,4,x,6,346,1.6,6,472,2.2
高校卒,10,28,4,x,6,900,4.1,6,1156,5.2
高校卒,15,33,4,x,6,1581,6.8,5,1904,8.2
高校卒,20,38,3,x,4,x,x,4,x,x
高校卒,25,43,3,x,4,x,x,4,x,x
高校卒,30,48,3,x,4,x,x,4,x,x
高校卒,35,53,3,x,4,x,x,4,x,x
高校卒,37,55,3,x,4,x,x,4,x,x
高校卒,定年,定年,-,-,-,-,-,1,x,-
高専・短大卒,1,21,3,x,-,-,-,1,x,x
高専・短大卒,3,23,2,x,3,x,x,3,x,x
高専・短大卒,5,25,2,x,3,x,x,3,x,x
高専・短大卒,10,30,2,x,3,x,x,3,x,x
高専・短大卒,15,35,2,x,3,x,x,3,x,x
高専・短大卒,20,40,2,x,3,x,x,3,x,x
高専・短大卒,25,45,2,x,3,x,x,3,x,x
高専・短大卒,30,50,2,x,3,x,x,3,x,x
高専・短大卒,35,55,2,x,3,x,x,3,x,x
高専・短大卒,定年,定年,2,x,-,-,-,1,x,x
大学卒,1,23,2,x,-,-,-,-,-,-
大学卒,3,25,3,x,4,x,x,4,x,x
大学卒,5,27,3,x,4,x,x,4,x,x
大学卒,10,32,3,x,4,x,x,4,x,x
大学卒,15,37,3,x,4,x,x,4,x,x
大学卒,20,42,3,x,4,x,x,4,x,x
大学卒,25,47,3,x,4,x,x,4,x,x
大学卒,30,52,2,x,3,x,x,3,x,x
大学卒,33,55,2,x,3,x,x,3,x,x
大学卒,定年,定年,1,x,-,-,-,1,x,x
