,,従業員を雇用している,家族従業員のみ      ,従業員は雇用していない                  ,無回答            ,ｎ
,今回調査（全体）,58.9,16.1,24.4,0.7,2348
業種別,前回調査,66.5,13.6,17.8,2.2,2263
業種別,情報・コンテンツ業,64.4,11.7,23.6,0.3,640
業種別,専門サービス業,50.1,19.4,29.8,0.7,820
業種別,技術サービス業,56.2,19.7,23.5,0.6,340
業種別,事業サービス業,67.3,13.4,18.1,1.2,507
特定10業種別,ソフトウェア業,69.6,13.3,17.1,0,286
特定10業種別,インターネット附随サービス業,48.4,8.1,43.5,0,62
特定10業種別,映像情報制作・配給業,63.2,11.8,25,0,68
特定10業種別,出版業,67.3,9.1,23.6,0,55
特定10業種別,税理士事務所,64.2,16.1,18.3,1.4,218
特定10業種別,デザイン業,46.2,17.3,36.5,0,104
特定10業種別,経営コンサルタント業,33,29.6,36.3,1.1,179
特定10業種別,建築設計業,53.9,20,25.6,0.6,180
特定10業種別,自動車整備業,48.1,25.9,22.2,3.7,54
特定10業種別,建物サービス業,72.1,15.3,12.6,0,111
