表側,事業所数／2012年(所),事業所数／2014年(所),事業所数／2016年(所),年間商品販売額／2012年(百万円),年間商品販売額／2014年(百万円),年間商品販売額／2016年(百万円)
卸売業
（全体）,36227,36504,37280,133902990,152004498,166915871
各種商品
卸売業,149,163,113,25503257,23924702,26536014
繊維・衣服等
卸売業,4005,4108,4085,4378407,3564811,4216122
飲食料品
卸売業,6089,6375,6009,18620639,21471927,25042902
建築材料，鉱物・
金属材料等
卸売業,7958,7768,7973,40472122,54860556,49142082
機械器具
卸売業,8865,8902,9551,26619232,29743979,40446691
その他の
卸売業,9161,9188,9549,18309332,18438523,21532060
