表側１,表側２,表側３,回答企業数(件),新規顧客を重視する(％),既存顧客を重視する(％),どちらともいえない(％),わからない(％),無回答(％)
,,今回調査（全体）,2003,8.2,50.4,29.3,9.5,2.6
業種別,,総合商品小売業,164,5.5,53.7,32.9,4.9,3
業種別,,生鮮食品小売業,113,4.4,50.4,25.7,13.3,6.2
業種別,,食料品関連小売業,511,9.4,48.9,27.8,11.5,2.3
業種別,,衣料品関連小売業,314,10.2,47.1,30.6,9.6,2.5
業種別,,住関連小売業,162,4.9,62.3,28.4,3.1,1.2
業種別,,その他小売業,737,8.3,49.4,29.9,9.9,2.6
従業者規模別,,1～2人,1059,7.2,51.8,26,12.9,2.1
従業者規模別,,3～5人,488,8.2,51.2,31.8,4.9,3.9
従業者規模別,,6～19人,272,10.3,48.2,33.8,4.8,2.9
従業者規模別,,20人以上,134,11.2,46.3,37.3,3.7,1.5
売上高増減別(前年同期比),,増加,138,9.4,55.1,29,5.8,0.7
売上高増減別(前年同期比),,横ばい,251,8,52.2,28.7,8,3.2
売上高増減別(前年同期比),,減少,1536,8.2,50.3,29.2,9.8,2.5
売上高増減別(3年前),,増加,130,10.8,47.7,37.7,2.3,1.5
売上高増減別(3年前),,横ばい,338,9.8,51.8,30.5,5.9,2.1
売上高増減別(3年前),,減少,1346,7.9,50.8,27.6,10.7,3
経常損益の変化別(前年同期比),,増益,109,13.8,49.5,26.6,9.2,0.9
経常損益の変化別(前年同期比),,横ばい,337,6.8,53.1,30.3,8,1.8
経常損益の変化別(前年同期比),,減益,1406,8.5,50.5,28.9,9.5,2.6
経常損益の変化別(3年前),,増益,208,10.6,51,29.8,5.8,2.9
経常損益の変化別(3年前),,横ばい,615,8.5,54.6,27.8,7.8,1.3
経常損益の変化別(3年前),,減益,937,8.2,49.7,28.6,10.2,3.2
