表側１,表側２,表側３,回答企業数(件),あり(％),なし(％),無回答(％)
,,"今回調査
（全体）",767,17.3,81.5,1.2
,,前回調査,760,19.3,79.5,1.2
業種別,,食料品卸売業,213,15.0,83.1,1.9
業種別,,生鮮食品卸売業,91,15.4,83.5,1.1
業種別,,加工食品等卸売業,122,14.8,82.8,2.5
業種別,,衣料品関連卸売業,111,18.0,81.1,0.9
業種別,,住関連卸売業,155,19.4,79.4,1.3
業種別,,その他卸売業,270,18.9,80.4,0.7
