表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),減少(20％未満)(％),大幅減少(20％以上)(％),無回答(％)
,,今回調査（全体）,1875,6.9,18,20.6,30.1,21.1,3.3
業種別,,総合商品小売業,148,18.9,29.1,17.6,13.5,15.5,5.4
業種別,,生鮮食品小売業,105,9.5,26.7,21,24.8,12.4,5.7
業種別,,食料品関連小売業,483,5.4,20.9,25.1,30,16.1,2.5
業種別,,衣料品関連小売業,290,3.1,10.7,14.8,36.2,33.8,1.4
業種別,,住関連小売業,155,8.4,14.8,16.8,34.2,22.6,3.2
業種別,,その他小売業,692,6.4,16,21.5,31.1,21.2,3.8
従業者規模別,,1～2人,1000,3.9,14.3,19.2,35.4,23.6,3.6
従業者規模別,,3～5人,460,7.2,21.1,21.3,26.5,21.3,2.6
従業者規模別,,6～19人,254,14.2,20.1,27.2,22.4,12.6,3.5
従業者規模別,,20人以上,127,16.5,29.9,20.5,15.7,15,2.4
