表側１,表側２,表側３,回答企業数(件),大いに進んだ(%),やや進んだ(%),変わらない(%),後退した(%),わからない(%),３年前は未創業(%),無回答(%)
,,"今回調査
（全体）",2141,4.6,21.8,36.6,0.9,21.4,0.4,14.3
業種別,,総合商品小売業,189,10.1,39.2,31.7,0.5,8.5,0.0,10.1
業種別,,生鮮食品小売業,134,3.0,6.7,31.3,0.0,32.8,0.0,26.1
業種別,,食料品関連小売業,535,2.1,19.3,36.3,0.6,24.9,0.2,16.8
業種別,,衣料品関連小売業,298,4.4,18.5,36.2,1.7,22.5,0.7,16.1
業種別,,住関連小売業,167,6.0,16.2,39.5,1.2,25.1,0.0,12.0
業種別,,その他小売業,773,5.2,25.0,38.8,1.0,19.0,0.6,10.3
従業者規模別,,１～２人,1066,1.7,12.2,36.5,1.4,30.7,0.5,17.1
従業者規模別,,３～５人,486,4.9,22.8,40.7,0.6,16.3,0.2,14.4
従業者規模別,,６～19人,336,8.6,39.3,36.3,0.0,7.7,0.6,7.4
従業者規模別,,20人以上,170,13.5,48.2,28.2,0.0,4.7,0.0,5.3
年間売上高増減別（3年前）,,増加（５％以上）,227,11.9,37.0,34.4,0.9,9.7,0.0,6.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,5.5,28.3,38.3,0.2,18.5,0.0,9.2
年間売上高増減別（3年前）,,やや減少（10％未満）,450,3.6,21.3,43.6,0.4,17.8,0.0,13.3
年間売上高増減別（3年前）,,減少（20％未満）,434,2.5,16.8,36.6,0.5,25.1,0.0,18.4
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,3.4,12.8,31.0,2.7,32.4,0.0,17.8
売上高経常利益率別,,黒字（プラス）,1093,6.0,26.4,36.8,0.7,18.7,0.4,11.0
売上高経常利益率別,,赤字（マイナス）,838,3.2,17.2,38.7,1.2,24.6,0.4,14.8
経常損益の変化別（3年前）,,増益,316,9.8,32.6,35.4,0.9,12.7,0.0,8.5
経常損益の変化別（3年前）,,横ばい,702,4.3,23.4,39.0,1.3,20.1,0.0,12.0
経常損益の変化別（3年前）,,減益,999,3.4,18.5,37.1,0.7,24.6,0.0,15.6
