区分,10～49人／集計人員（人）,10～49人／平均年齢（歳）,10～49人／平均勤続年数（年）,10～49人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,10～49人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,10～49人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,10～49人／令和3年年間給与支払額（円）,50～99人／集計人員（人）,50～99人／平均年齢（歳）,50～99人／平均勤続年数（年）,50～99人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,50～99人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,50～99人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,50～99人／令和3年年間給与支払額（円）,100～299人／集計人員（人）,100～299人／平均年齢（歳）,100～299人／平均勤続年数（年）,100～299人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,100～299人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,100～299人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,100～299人／令和3年年間給与支払額（円）
調査産業計,9417,44.2,11.1,340695,11156,30494,5006535,7104,42.6,11,379263,11626,31321,5890931,9120,41.7,11.3,376038,11315,35295,5933338
建設業計,760,45.4,12.8,379727,9990,46227,5989178,955,42.5,10.5,368867,10424,43901,6333825,2289,40.3,11.8,357218,12551,46796,6170757
建設業／総合工事業,250,45.3,14.4,392979,6437,57369,6564023,226,43.4,12.2,370695,19453,63921,6485760,869,38,9.6,352026,13133,55916,6468971
建設業／職別工事業,166,43.8,12,386828,6880,41928,6217717,258,43.6,11.5,380457,3340,23906,6198464,670,45.7,12.3,369012,14123,46447,5587893
建設業／設備工事業,344,46.3,12,366632,14072,41402,5463710,471,41.6,9.1,361641,9972,45248,6332953,750,38.3,13.9,352670,10473,36542,6420003
製造業計,2343,44.8,13.8,331302,12029,20969,4880946,1535,43.3,13,322497,11579,31111,5027625,2664,42.6,13,385272,12361,22694,5746501
製造業／食料品・たばこ・飼料製造業,83,40.1,10,280105,7340,3679,3723682,46,43.9,12.4,327948,14408,759,4657962,72,40.4,11.1,336260,15015,25006,4940154
製造業／繊維・衣服製造業,263,43,13.4,320523,15938,16690,4181135,-,-,-,-,-,-,-,233,40.9,10.7,333521,17576,22844,4798049
製造業／木材・木製品・紙・パルプ製造業,161,43.3,11.1,288775,8098,18086,4927410,130,43.5,12.7,310173,13966,18129,4306385,208,41.2,11,311912,9082,15917,4841789
製造業／印刷・同関連業,244,44.2,13,325138,14290,26253,4383887,273,44.4,15.3,292178,13633,62621,4661287,460,43.9,14.7,355121,15779,29053,5038570
製造業／化学工業,209,45.1,11.9,329890,9664,5829,5029292,116,43,11.7,297590,6841,4772,4509907,265,37.2,5.9,482369,6808,1030,6121425
製造業／プラスチック製品製造業,47,50.3,11.3,315635,15409,10873,4079983,-,-,-,-,-,-,-,214,42.3,12.2,386203,13005,24597,6467753
製造業／ゴム製品・革・毛皮製造業,85,46.9,8.2,313943,13424,11890,4120920,79,45.2,13.3,350410,15472,7274,5196803,89,44,11.3,455982,18120,16775,6857382
製造業／窯業・土石製品製造業,217,47.1,14.9,351755,11981,27758,5241981,144,40,14.3,352508,12110,42506,5489090,346,43.4,17.3,349705,10889,31871,5813890
製造業／鉄鋼・非鉄金属製造業,152,43.1,14.8,353084,10742,16130,5067926,33,48,11,357243,9072,9996,4937823,72,43.7,17,373964,12495,4091,6300000
製造業／金属製品製造業,98,43.9,13.2,335165,9371,14424,4726833,63,39.7,11.7,307070,5110,29431,5635741,153,40.5,14.4,322335,16008,20287,5364224
製造業／はん用・生産用・業務用機械器具製造業,173,45,12.8,347746,11216,30465,5087071,278,43.8,12.9,344686,11062,15601,5532822,249,45,13,330072,10557,36498,5274697
製造業／電気・電子部品・精密機械器具製造業,316,46.8,18.7,334226,11506,21921,5248201,45,48.6,11.5,338586,16222,10535,4780204,71,43.3,18.2,300478,10354,57002,4853352
製造業／輸送用機械器具製造業,125,43.9,12.4,336207,11389,22366,4470491,260,41.7,13.6,309543,9647,49758,5054655,232,46.6,13.3,625016,8305,8961,8475227
製造業／その他の製造業,170,44.7,16.1,363172,15042,41395,6092613,68,43.8,6.1,356200,12933,10737,4793705,-,-,-,-,-,-,-
情報通信業計,658,36.5,7.3,338286,8045,30198,5048121,678,38.2,11.6,358580,11309,53948,5513019,1150,38.7,9.9,372557,10943,35324,5950345
情報通信業／通信・放送・インターネット附随サービス業,263,36.3,4.7,369402,4414,46923,4985060,120,39.5,8,486661,7057,115362,7001671,64,37.9,4.3,319025,5478,0,3760781
情報通信業／情報サービス業,241,35.8,9.7,302436,9850,17166,4904833,332,37.4,11.8,319397,11441,38191,5199454,558,35.7,9.3,324309,10173,45953,5084831
情報通信業／映像・音声・文字情報制作業,154,37.9,8,341252,11421,20847,5379483,226,38.6,13.1,348135,13371,44485,5245855,528,41.9,11.2,429426,12418,28374,7104151
