表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),減少(20％未満)(％),大幅減少(20％以上)(％),無回答(％)
,,今回調査（全体）,1875,5.6,19.6,21.7,28.5,21.5,3
業種別,,総合商品小売業,148,12.2,37.8,19.6,13.5,13.5,3.4
業種別,,生鮮食品小売業,105,5.7,25.7,25.7,23.8,12.4,6.7
業種別,,食料品関連小売業,483,6.2,18.4,28,25.7,17.8,3.9
業種別,,衣料品関連小売業,290,3.1,11.7,14.8,35.2,33.1,2.1
業種別,,住関連小売業,155,5.2,18.1,18.1,32.9,23.9,1.9
業種別,,その他小売業,692,4.9,19.2,21,30.8,21.7,2.5
従業者規模別,,1～2人,1000,2.9,15.6,20.5,33.2,24.7,3.1
従業者規模別,,3～5人,460,7,20,23.5,26.5,19.8,3.3
従業者規模別,,6～19人,254,10.2,31.1,22.4,20.9,13,2.4
従業者規模別,,20人以上,127,13.4,29.1,26,13.4,15.7,2.4
