表側１,表側２,表側３,回答企業数(件),増大(％),変わらない(％),減少(％),無回答(％)
,,今回調査（全体）,325,51.7,37.5,9.2,1.5
業種別,,食料品卸売業,98,58.2,29.6,10.2,2
業種別,,生鮮食品卸売業,59,59.3,28.8,10.2,1.7
業種別,,加工食品等卸売業,39,56.4,30.8,10.3,2.6
業種別,,衣料品関連卸売業,72,51.4,36.1,11.1,1.4
業種別,,住関連卸売業,38,52.6,42.1,2.6,2.6
業種別,,その他卸売業,113,47.8,41.6,9.7,0.9
従業者規模別,,1～5人,160,56.3,33.8,8.8,1.3
従業者規模別,,6～9人,44,50,43.2,6.8,0
従業者規模別,,10～49人,99,48.5,37.4,13.1,1
従業者規模別,,50人以上,18,27.8,66.7,0,5.6
取引形態別,一次卸,小売直取引卸,98,46.9,41.8,10.2,1
取引形態別,一次卸,他部門直取引卸,21,38.1,57.1,4.8,0
取引形態別,一次卸,元卸,63,41.3,47.6,9.5,1.6
取引形態別,二次卸,中間卸,36,63.9,19.4,13.9,2.8
取引形態別,二次卸,最終卸,52,63.5,28.8,7.7,0
取引形態別,その他,製造問屋,11,45.5,36.4,9.1,9.1
取引形態別,その他,その他卸,38,60.5,34.2,5.3,0
